,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
19,19,Other furniture,201600171016.62607,EO12,0.11790,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Office and Residential Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.14762,0.17590,0.16685,1.00000,1.00000,1.00000
20,20,Household appliances,2759304252.24404,EO71,0.16500,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Office and Residential Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.19472,0.22300,0.21395,1.00000,1.00000,1.00000
21,21,Service industry machinery,100661650545.77032,EO60,0.15280,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.18252,0.21080,0.20175,1.00000,1.00000,1.00000
22,22,Other electrical,16821590673.30212,EO72,0.18340,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.21312,0.24140,0.23235,1.00000,1.00000,1.00000
23,23,Other,219586535061.53326,EO80,0.14730,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.17702,0.20530,0.19625,1.00000,1.00000,1.00000
24,24,Nuclear fuel,6455272412.79992,EI11,0.25000,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Industrial Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.27972,0.30800,0.29895,1.00000,1.00000,1.00000
25,25,Other fabricated metals,117546642593.84708,EI12,0.09170,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Industrial Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.12142,0.14970,0.14065,1.00000,1.00000,1.00000
26,26,Metalworking machinery,218890188220.55261,EI30,0.12250,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Industrial Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.15222,0.18050,0.17145,1.00000,1.00000,1.00000
27,27,Electric transmission and distribution,423453244425.71625,EI60,0.05000,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Industrial Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.07972,0.10800,0.09895,1.00000,1.00000,1.00000
28,28,Farm tractors,24563500688.93158,EO21,0.14520,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Industrial Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.17492,0.20320,0.19415,1.00000,1.00000,1.00000
