,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
17,Nonmedical instruments,0.00000,EP36,0.00000,0.09907,0.12998,0.11986,Equipment,-0.18536,0.13960,0.09451,-0.14105,0.12452,0.08063,Instruments and Communications Equipment,-0.00447,0.00941,0.00490,corporate,-0.00447,0.00941,0.00490,-0.00447,0.00941,0.00490,-0.05746,-0.09055,-0.08040
18,Household furniture,0.00000,EO11,0.00000,0.09487,0.12249,0.11345,Equipment,-0.24847,0.10914,0.05850,-0.18907,0.09735,0.04990,Office and Residential Equipment,-0.00576,0.00711,0.00292,corporate,-0.00576,0.00711,0.00292,-0.00576,0.00711,0.00292,-0.04214,-0.06750,-0.05963
19,Other furniture,0.00000,EO12,0.00000,0.09735,0.12727,0.11745,Equipment,-0.21065,0.12882,0.08129,-0.16029,0.11491,0.06935,Office and Residential Equipment,-0.00500,0.00858,0.00416,corporate,-0.00500,0.00858,0.00416,-0.00500,0.00858,0.00416,-0.05746,-0.09055,-0.08040
20,Household appliances,0.00000,EO71,0.00000,0.09690,0.12574,0.11632,Equipment,-0.21732,0.12261,0.07494,-0.16536,0.10937,0.06393,Office and Residential Equipment,-0.00514,0.00811,0.00381,corporate,-0.00514,0.00811,0.00381,-0.00514,0.00811,0.00381,-0.04214,-0.06750,-0.05963
21,Service industry machinery,0.00000,EO60,0.00000,0.10086,0.13280,0.12236,Equipment,-0.15988,0.15053,0.10791,-0.12166,0.13427,0.09206,Other Equipment,-0.00392,0.01028,0.00567,corporate,-0.00392,0.01028,0.00567,-0.00392,0.01028,0.00567,-0.05746,-0.09055,-0.08040
22,Other electrical,0.00000,EO72,0.00000,0.10393,0.13765,0.12667,Equipment,-0.11796,0.16870,0.13012,-0.08976,0.15048,0.11100,Other Equipment,-0.00297,0.01177,0.00699,corporate,-0.00297,0.01177,0.00699,-0.00297,0.01177,0.00699,-0.05746,-0.09055,-0.08040
23,Other,0.00000,EO80,0.00000,0.10030,0.13193,0.12159,Equipment,-0.16766,0.14718,0.10381,-0.12758,0.13128,0.08856,Other Equipment,-0.00409,0.01001,0.00543,corporate,-0.00409,0.01001,0.00543,-0.00409,0.01001,0.00543,-0.05746,-0.09055,-0.08040
24,Nuclear fuel,0.00000,EI11,0.00000,0.10317,0.13578,0.12519,Equipment,-0.12813,0.16179,0.12261,-0.09750,0.14431,0.10459,Other Industrial Equipment,-0.00321,0.01119,0.00654,corporate,-0.00321,0.01119,0.00654,-0.00321,0.01119,0.00654,-0.04214,-0.06750,-0.05963
25,Other fabricated metals,0.00000,EI12,0.00000,0.09471,0.12312,0.11376,Equipment,-0.25102,0.11178,0.06033,-0.19101,0.09970,0.05147,Other Industrial Equipment,-0.00581,0.00730,0.00302,corporate,-0.00581,0.00730,0.00302,-0.00581,0.00730,0.00302,-0.05746,-0.09055,-0.08040
26,Metalworking machinery,0.00000,EI30,0.00000,0.09781,0.12800,0.11810,Equipment,-0.20377,0.13175,0.08488,-0.15505,0.11751,0.07241,Other Industrial Equipment,-0.00486,0.00880,0.00436,corporate,-0.00486,0.00880,0.00436,-0.00486,0.00880,0.00436,-0.05746,-0.09055,-0.08040
27,Electric transmission and distribution,0.00000,EI60,0.00000,0.09981,0.13437,0.12293,Equipment,-0.17466,0.15648,0.11089,-0.13291,0.13958,0.09460,Other Industrial Equipment,-0.00424,0.01076,0.00584,corporate,-0.00424,0.01076,0.00584,-0.00424,0.01076,0.00584,-0.12535,-0.18502,-0.16763
28,Farm tractors,0.00000,EO21,0.00000,0.10009,0.13160,0.12129,Equipment,-0.17066,0.14590,0.10223,-0.12986,0.13014,0.08721,Other Industrial Equipment,-0.00416,0.00991,0.00534,corporate,-0.00416,0.00991,0.00534,-0.00416,0.00991,0.00534,-0.05746,-0.09055,-0.08040
29,Construction tractors,0.00000,EO22,0.00000,0.09678,0.12554,0.11614,Equipment,-0.21921,0.12179,0.07394,-0.16680,0.10864,0.06308,Other Industrial Equipment,-0.00517,0.00804,0.00375,corporate,-0.00517,0.00804,0.00375,-0.00517,0.00804,0.00375,-0.04214,-0.06750,-0.05963
30,Other agricultural machinery,0.00000,EO30,0.00000,0.09735,0.12727,0.11745,Equipment,-0.21065,0.12882,0.08129,-0.16029,0.11491,0.06935,Other Industrial Equipment,-0.00500,0.00858,0.00416,corporate,-0.00500,0.00858,0.00416,-0.00500,0.00858,0.00416,-0.05746,-0.09055,-0.08040
31,Other construction machinery,0.00000,EO40,0.00000,0.09617,0.12456,0.11527,Equipment,-0.22851,0.11776,0.06902,-0.17388,0.10504,0.05888,Other Industrial Equipment,-0.00536,0.00774,0.00349,corporate,-0.00536,0.00774,0.00349,-0.00536,0.00774,0.00349,-0.04214,-0.06750,-0.05963
