Codes:,depreciation,interest_paid,total_net_income,total_net_loss
23799,251327000.0,124126000.0,2983357000.0,534003000.0
237990,251327000.0,124126000.0,2983357000.0,534003000.0
238,703591004.48,387399004.48,4458316381.42,1530413004.48
2381,92607000.0,25133000.0,957848000.0,130491000.0
23811,11575875.0,3141625.0,119731000.0,16311375.0
238110,11575875.0,3141625.0,119731000.0,16311375.0
23812,11575875.0,3141625.0,119731000.0,16311375.0
238120,11575875.0,3141625.0,119731000.0,16311375.0
23813,11575875.0,3141625.0,119731000.0,16311375.0
238130,11575875.0,3141625.0,119731000.0,16311375.0
23814,11575875.0,3141625.0,119731000.0,16311375.0
238140,11575875.0,3141625.0,119731000.0,16311375.0
23815,11575875.0,3141625.0,119731000.0,16311375.0
238150,11575875.0,3141625.0,119731000.0,16311375.0
23816,11575875.0,3141625.0,119731000.0,16311375.0
238160,11575875.0,3141625.0,119731000.0,16311375.0
23817,11575875.0,3141625.0,119731000.0,16311375.0
238170,11575875.0,3141625.0,119731000.0,16311375.0
23819,11575875.0,3141625.0,119731000.0,16311375.0
238190,11575875.0,3141625.0,119731000.0,16311375.0
2382,173105004.48,119513004.48,1490503381.42,522058004.48
23821,56548002.087,35416536.2257,714750711.827,276307002.087
238210,56548002.087,35416536.2257,714750711.827,276307002.087
23822,116557002.393,84096468.2542,775752669.592,245751002.393
238220,116557002.393,84096468.2542,775752669.592,245751002.393
23829,0.0,0.0,0.0,0.0
238290,0.0,0.0,0.0,0.0
2383,28989000.0,36431000.0,602520000.0,102222000.0
23831,4831500.0,6071833.33333,100420000.0,17037000.0
238310,4831500.0,6071833.33333,100420000.0,17037000.0
23832,4831500.0,6071833.33333,100420000.0,17037000.0
238320,4831500.0,6071833.33333,100420000.0,17037000.0
23833,4831500.0,6071833.33333,100420000.0,17037000.0
238330,4831500.0,6071833.33333,100420000.0,17037000.0
23834,4831500.0,6071833.33333,100420000.0,17037000.0
238340,4831500.0,6071833.33333,100420000.0,17037000.0
23835,4831500.0,6071833.33333,100420000.0,17037000.0
238350,4831500.0,6071833.33333,100420000.0,17037000.0
23839,4831500.0,6071833.33333,100420000.0,17037000.0
238390,4831500.0,6071833.33333,100420000.0,17037000.0
2389,408890000.0,206322000.0,1407445000.0,775642000.0
23891,204445000.0,103161000.0,703722500.0,387821000.0
238910,204445000.0,103161000.0,703722500.0,387821000.0
23899,204445000.0,103161000.0,703722500.0,387821000.0
238990,204445000.0,103161000.0,703722500.0,387821000.0
31.32.33,14962554190.5,7917626190.53,80828596000.0,19199837190.5
311,747232887.159,544883011.881,5207171937.64,1259441887.16
3111,0.0,0.0,0.0,0.0
31111,0.0,0.0,0.0,0.0
311111,0.0,0.0,0.0,0.0
311119,0.0,0.0,0.0,0.0
3112,0.0,0.0,0.0,0.0
31121,0.0,0.0,0.0,0.0
311211,0.0,0.0,0.0,0.0
311212,0.0,0.0,0.0,0.0
311213,0.0,0.0,0.0,0.0
31122,0.0,0.0,0.0,0.0
311221,0.0,0.0,0.0,0.0
311224,0.0,0.0,0.0,0.0
311225,0.0,0.0,0.0,0.0
31123,0.0,0.0,0.0,0.0
311230,0.0,0.0,0.0,0.0
3113,0.0,0.0,0.0,0.0
31131,0.0,0.0,0.0,0.0
311313,0.0,0.0,0.0,0.0
311314,0.0,0.0,0.0,0.0
31134,0.0,0.0,0.0,0.0
311340,0.0,0.0,0.0,0.0
31135,0.0,0.0,0.0,0.0
311351,0.0,0.0,0.0,0.0
311352,0.0,0.0,0.0,0.0
3114,0.0,0.0,0.0,0.0
31141,0.0,0.0,0.0,0.0
311411,0.0,0.0,0.0,0.0
311412,0.0,0.0,0.0,0.0
31142,0.0,0.0,0.0,0.0
311421,0.0,0.0,0.0,0.0
311422,0.0,0.0,0.0,0.0
311423,0.0,0.0,0.0,0.0
3115,0.0,0.0,0.0,0.0
31151,0.0,0.0,0.0,0.0
311511,0.0,0.0,0.0,0.0
311512,0.0,0.0,0.0,0.0
311513,0.0,0.0,0.0,0.0
311514,0.0,0.0,0.0,0.0
31152,0.0,0.0,0.0,0.0
311520,0.0,0.0,0.0,0.0
3116,747232887.159,544883011.881,5207171937.64,1259441887.16
31161,747232887.159,544883011.881,5207171937.64,1259441887.16
311611,0.0,0.0,0.0,0.0
311612,0.0,0.0,0.0,0.0
311613,0.0,0.0,0.0,0.0
311615,747232887.159,544883011.881,5207171937.64,1259441887.16
3117,0.0,0.0,0.0,0.0
31171,0.0,0.0,0.0,0.0
311710,0.0,0.0,0.0,0.0
3118,0.0,0.0,0.0,0.0
31181,0.0,0.0,0.0,0.0
311811,0.0,0.0,0.0,0.0
311812,0.0,0.0,0.0,0.0
311813,0.0,0.0,0.0,0.0
31182,0.0,0.0,0.0,0.0
311821,0.0,0.0,0.0,0.0
311824,0.0,0.0,0.0,0.0
31183,0.0,0.0,0.0,0.0
311830,0.0,0.0,0.0,0.0
3119,0.0,0.0,0.0,0.0
31191,0.0,0.0,0.0,0.0
311911,0.0,0.0,0.0,0.0
311919,0.0,0.0,0.0,0.0
31192,0.0,0.0,0.0,0.0
311920,0.0,0.0,0.0,0.0
31193,0.0,0.0,0.0,0.0
311930,0.0,0.0,0.0,0.0
31194,0.0,0.0,0.0,0.0
311941,0.0,0.0,0.0,0.0
311942,0.0,0.0,0.0,0.0
31199,0.0,0.0,0.0,0.0
311991,0.0,0.0,0.0,0.0
311999,0.0,0.0,0.0,0.0
312,495773952.568,474038004.994,2838047973.79,642439952.568
3121,495773952.568,474038004.994,2838047973.79,642439952.568
31211,0.0,0.0,0.0,0.0
312111,0.0,0.0,0.0,0.0
312112,0.0,0.0,0.0,0.0
312113,0.0,0.0,0.0,0.0
31212,495773952.568,474038004.994,2838047973.79,642439952.568
312120,495773952.568,474038004.994,2838047973.79,642439952.568
31213,0.0,0.0,0.0,0.0
312130,0.0,0.0,0.0,0.0
31214,0.0,0.0,0.0,0.0
312140,0.0,0.0,0.0,0.0
3122,0.0,0.0,0.0,0.0
31223,0.0,0.0,0.0,0.0
312230,0.0,0.0,0.0,0.0
313,10852992.7248,27870500.766,214424995.979,24573992.7248
3131,3617664.24159,9290166.92201,71474998.6598,8191330.90825
31311,3617664.24159,9290166.92201,71474998.6598,8191330.90825
313110,3617664.24159,9290166.92201,71474998.6598,8191330.90825
3132,3617664.24159,9290166.92201,71474998.6598,8191330.90825
31321,904416.060397,2322541.7305,17868749.6649,2047832.72706
313210,904416.060397,2322541.7305,17868749.6649,2047832.72706
31322,904416.060397,2322541.7305,17868749.6649,2047832.72706
313220,904416.060397,2322541.7305,17868749.6649,2047832.72706
31323,904416.060397,2322541.7305,17868749.6649,2047832.72706
313230,904416.060397,2322541.7305,17868749.6649,2047832.72706
31324,904416.060397,2322541.7305,17868749.6649,2047832.72706
313240,904416.060397,2322541.7305,17868749.6649,2047832.72706
3133,3617664.24159,9290166.92201,71474998.6598,8191330.90825
31331,1808832.12079,4645083.46101,35737499.3299,4095665.45413
313310,1808832.12079,4645083.46101,35737499.3299,4095665.45413
31332,1808832.12079,4645083.46101,35737499.3299,4095665.45413
313320,1808832.12079,4645083.46101,35737499.3299,4095665.45413
314,10853000.0,27870500.0,214425000.0,24574000.0
3141,5426500.0,13935250.0,107212500.0,12287000.0
31411,2713250.0,6967625.0,53606250.0,6143500.0
314110,2713250.0,6967625.0,53606250.0,6143500.0
31412,2713250.0,6967625.0,53606250.0,6143500.0
314120,2713250.0,6967625.0,53606250.0,6143500.0
3149,5426500.0,13935250.0,107212500.0,12287000.0
31491,2713250.0,6967625.0,53606250.0,6143500.0
314910,2713250.0,6967625.0,53606250.0,6143500.0
31499,2713250.0,6967625.0,53606250.0,6143500.0
314994,1356625.0,3483812.5,26803125.0,3071750.0
314999,1356625.0,3483812.5,26803125.0,3071750.0
315,23555994.4087,60369000.5887,667301996.91,200116994.409
3151,825.058554259,2114.44948932,23372.5314785,7009.1814094
31511,412.529277129,1057.22474466,11686.2657392,3504.5907047
315110,412.529277129,1057.22474466,11686.2657392,3504.5907047
31519,412.529277129,1057.22474466,11686.2657392,3504.5907047
315190,412.529277129,1057.22474466,11686.2657392,3504.5907047
3152,825.058554259,2114.44948932,23372.5314785,7009.1814094
31521,206.264638565,528.612372329,5843.13286962,1752.29535235
315210,206.264638565,528.612372329,5843.13286962,1752.29535235
31522,206.264638565,528.612372329,5843.13286962,1752.29535235
315220,206.264638565,528.612372329,5843.13286962,1752.29535235
31524,206.264638565,528.612372329,5843.13286962,1752.29535235
315240,206.264638565,528.612372329,5843.13286962,1752.29535235
31528,206.264638565,528.612372329,5843.13286962,1752.29535235
315280,206.264638565,528.612372329,5843.13286962,1752.29535235
3159,23554344.2916,60364771.6898,667255251.847,200102976.046
31599,23554344.2916,60364771.6898,667255251.847,200102976.046
315990,23554344.2916,60364771.6898,667255251.847,200102976.046
316,1512998.85757,114000.120291,23263999.3686,25553998.8576
3161,504332.952522,38000.040097,7754666.45621,8517999.61919
31611,504332.952522,38000.040097,7754666.45621,8517999.61919
316110,504332.952522,38000.040097,7754666.45621,8517999.61919
3162,504332.952522,38000.040097,7754666.45621,8517999.61919
31621,504332.952522,38000.040097,7754666.45621,8517999.61919
316210,504332.952522,38000.040097,7754666.45621,8517999.61919
3169,504332.952522,38000.040097,7754666.45621,8517999.61919
31699,504332.952522,38000.040097,7754666.45621,8517999.61919
316992,252166.476261,19000.0200485,3877333.22811,4258999.80959
316998,252166.476261,19000.0200485,3877333.22811,4258999.80959
321,147992985.724,199011001.503,456489992.11,323977985.724
3211,49330995.2413,66337000.5011,152163330.703,107992661.908
32111,49330995.2413,66337000.5011,152163330.703,107992661.908
321113,24665497.6206,33168500.2505,76081665.3517,53996330.954
321114,24665497.6206,33168500.2505,76081665.3517,53996330.954
3212,49330995.2413,66337000.5011,152163330.703,107992661.908
32121,49330995.2413,66337000.5011,152163330.703,107992661.908
321211,9866199.04826,13267400.1002,30432666.1407,21598532.3816
321212,9866199.04826,13267400.1002,30432666.1407,21598532.3816
321213,9866199.04826,13267400.1002,30432666.1407,21598532.3816
321214,9866199.04826,13267400.1002,30432666.1407,21598532.3816
321219,9866199.04826,13267400.1002,30432666.1407,21598532.3816
3219,49330995.2413,66337000.5011,152163330.703,107992661.908
32191,16443665.0804,22112333.5004,50721110.2345,35997553.9693
321911,5481221.69348,7370777.83345,16907036.7448,11999184.6564
321912,5481221.69348,7370777.83345,16907036.7448,11999184.6564
321918,5481221.69348,7370777.83345,16907036.7448,11999184.6564
32192,16443665.0804,22112333.5004,50721110.2345,35997553.9693
321920,16443665.0804,22112333.5004,50721110.2345,35997553.9693
32199,16443665.0804,22112333.5004,50721110.2345,35997553.9693
321991,5481221.69348,7370777.83345,16907036.7448,11999184.6564
321992,5481221.69348,7370777.83345,16907036.7448,11999184.6564
321999,5481221.69348,7370777.83345,16907036.7448,11999184.6564
322,109711948.465,688049005.426,996337971.519,592534948.465
3221,54855974.2323,344024502.713,498168985.76,296267474.232
32211,18285324.7441,114674834.238,166056328.587,98755824.7441
322110,18285324.7441,114674834.238,166056328.587,98755824.7441
32212,18285324.7441,114674834.238,166056328.587,98755824.7441
322121,9142662.37206,57337417.1189,83028164.2933,49377912.3721
322122,9142662.37206,57337417.1189,83028164.2933,49377912.3721
32213,18285324.7441,114674834.238,166056328.587,98755824.7441
322130,18285324.7441,114674834.238,166056328.587,98755824.7441
3222,54855974.2323,344024502.713,498168985.76,296267474.232
32221,13713993.5581,86006125.6783,124542246.44,74066868.5581
322211,4571331.18603,28668708.5594,41514082.1466,24688956.186
322212,4571331.18603,28668708.5594,41514082.1466,24688956.186
322219,4571331.18603,28668708.5594,41514082.1466,24688956.186
32222,13713993.5581,86006125.6783,124542246.44,74066868.5581
322220,13713993.5581,86006125.6783,124542246.44,74066868.5581
32223,13713993.5581,86006125.6783,124542246.44,74066868.5581
322230,13713993.5581,86006125.6783,124542246.44,74066868.5581
32229,13713993.5581,86006125.6783,124542246.44,74066868.5581
322291,6856996.77904,43003062.8391,62271123.2199,37033434.279
322299,6856996.77904,43003062.8391,62271123.2199,37033434.279
323,181260986.391,164176001.433,419189992.479,496813986.391
3231,181260986.391,164176001.433,419189992.479,496813986.391
32311,90630493.1955,82088000.7165,209594996.24,248406993.195
323111,30210164.3985,27362666.9055,69864998.7465,82802331.0652
323113,30210164.3985,27362666.9055,69864998.7465,82802331.0652
323117,30210164.3985,27362666.9055,69864998.7465,82802331.0652
32312,90630493.1955,82088000.7165,209594996.24,248406993.195
323120,90630493.1955,82088000.7165,209594996.24,248406993.195
324,6147767641.84,1524799037.71,25072256802.1,4388817641.84
3241,6147767641.84,1524799037.71,25072256802.1,4388817641.84
32411,6147767641.84,1524799037.71,25072256802.1,4388817641.84
324110,6147767641.84,1524799037.71,25072256802.1,4388817641.84
32412,0.0,0.0,0.0,0.0
324121,0.0,0.0,0.0,0.0
324122,0.0,0.0,0.0,0.0
32419,0.0,0.0,0.0,0.0
324191,0.0,0.0,0.0,0.0
324199,0.0,0.0,0.0,0.0
325,2266898693.7,904779032.252,21687352830.7,3336795693.7
3251,323842670.528,129254147.465,3098193261.53,476685099.099
32511,64768534.1056,25850829.4929,619638652.306,95337019.8199
325110,64768534.1056,25850829.4929,619638652.306,95337019.8199
32512,64768534.1056,25850829.4929,619638652.306,95337019.8199
325120,64768534.1056,25850829.4929,619638652.306,95337019.8199
32513,64768534.1056,25850829.4929,619638652.306,95337019.8199
325130,64768534.1056,25850829.4929,619638652.306,95337019.8199
32518,64768534.1056,25850829.4929,619638652.306,95337019.8199
325180,64768534.1056,25850829.4929,619638652.306,95337019.8199
32519,64768534.1056,25850829.4929,619638652.306,95337019.8199
325193,21589511.3685,8616943.1643,206546217.435,31779006.6066
325194,21589511.3685,8616943.1643,206546217.435,31779006.6066
325199,21589511.3685,8616943.1643,206546217.435,31779006.6066
3252,323842670.528,129254147.465,3098193261.53,476685099.099
32521,161921335.264,64627073.7323,1549096630.77,238342549.55
325211,80960667.632,32313536.8661,774548315.383,119171274.775
325212,80960667.632,32313536.8661,774548315.383,119171274.775
32522,161921335.264,64627073.7323,1549096630.77,238342549.55
325220,161921335.264,64627073.7323,1549096630.77,238342549.55
3253,323842670.528,129254147.465,3098193261.53,476685099.099
32531,161921335.264,64627073.7323,1549096630.77,238342549.55
325311,53973778.4213,21542357.9108,516365543.589,79447516.5166
325312,53973778.4213,21542357.9108,516365543.589,79447516.5166
325314,53973778.4213,21542357.9108,516365543.589,79447516.5166
32532,161921335.264,64627073.7323,1549096630.77,238342549.55
325320,161921335.264,64627073.7323,1549096630.77,238342549.55
3254,323842670.528,129254147.465,3098193261.53,476685099.099
