Codes:,depreciation,interest_paid,total_net_income,total_net_loss
1,136841830000.0,81072973000.0,1.068043099e+12,290118622000.0
11,1171356004.5,546873004.5,15224645000.0,6919758004.5
111,137256205.336,76043801.8491,9606740000.0,2284762003.59
1111,27451241.0671,15208760.3698,1921348000.0,456952400.718
11111,3921605.86673,2172680.05283,274478285.714,65278914.3884
111110,3921605.86673,2172680.05283,274478285.714,65278914.3884
11112,3921605.86673,2172680.05283,274478285.714,65278914.3884
111120,3921605.86673,2172680.05283,274478285.714,65278914.3884
11113,3921605.86673,2172680.05283,274478285.714,65278914.3884
111130,3921605.86673,2172680.05283,274478285.714,65278914.3884
11114,3921605.86673,2172680.05283,274478285.714,65278914.3884
111140,3921605.86673,2172680.05283,274478285.714,65278914.3884
11115,3921605.86673,2172680.05283,274478285.714,65278914.3884
111150,3921605.86673,2172680.05283,274478285.714,65278914.3884
11116,3921605.86673,2172680.05283,274478285.714,65278914.3884
111160,3921605.86673,2172680.05283,274478285.714,65278914.3884
11119,3921605.86673,2172680.05283,274478285.714,65278914.3884
111191,1960802.93337,1086340.02642,137239142.857,32639457.1942
111199,1960802.93337,1086340.02642,137239142.857,32639457.1942
1112,27451241.0671,15208760.3698,1921348000.0,456952400.718
11121,27451241.0671,15208760.3698,1921348000.0,456952400.718
111211,13725620.5336,7604380.18491,960674000.0,228476200.359
111219,13725620.5336,7604380.18491,960674000.0,228476200.359
1113,27451241.0671,15208760.3698,1921348000.0,456952400.718
11131,9150413.68905,5069586.78994,640449333.333,152317466.906
111310,9150413.68905,5069586.78994,640449333.333,152317466.906
11132,9150413.68905,5069586.78994,640449333.333,152317466.906
111320,9150413.68905,5069586.78994,640449333.333,152317466.906
11133,9150413.68905,5069586.78994,640449333.333,152317466.906
111331,1307201.95558,724226.684278,91492761.9048,21759638.1295
111332,1307201.95558,724226.684278,91492761.9048,21759638.1295
111333,1307201.95558,724226.684278,91492761.9048,21759638.1295
111334,1307201.95558,724226.684278,91492761.9048,21759638.1295
111335,1307201.95558,724226.684278,91492761.9048,21759638.1295
111336,1307201.95558,724226.684278,91492761.9048,21759638.1295
111339,1307201.95558,724226.684278,91492761.9048,21759638.1295
1114,27451241.0671,15208760.3698,1921348000.0,456952400.718
11141,13725620.5336,7604380.18491,960674000.0,228476200.359
111411,6862810.26678,3802190.09246,480337000.0,114238100.18
111419,6862810.26678,3802190.09246,480337000.0,114238100.18
11142,13725620.5336,7604380.18491,960674000.0,228476200.359
111421,6862810.26678,3802190.09246,480337000.0,114238100.18
111422,6862810.26678,3802190.09246,480337000.0,114238100.18
1119,27451241.0671,15208760.3698,1921348000.0,456952400.718
11191,5490248.21343,3041752.07397,384269600.0,91390480.1437
111910,5490248.21343,3041752.07397,384269600.0,91390480.1437
11192,5490248.21343,3041752.07397,384269600.0,91390480.1437
111920,5490248.21343,3041752.07397,384269600.0,91390480.1437
11193,5490248.21343,3041752.07397,384269600.0,91390480.1437
111930,5490248.21343,3041752.07397,384269600.0,91390480.1437
11194,5490248.21343,3041752.07397,384269600.0,91390480.1437
111940,5490248.21343,3041752.07397,384269600.0,91390480.1437
11199,5490248.21343,3041752.07397,384269600.0,91390480.1437
111991,1830082.73781,1013917.35799,128089866.667,30463493.3812
111992,1830082.73781,1013917.35799,128089866.667,30463493.3812
111998,1830082.73781,1013917.35799,128089866.667,30463493.3812
112,423807000.0,80702000.0,3266034000.0,3411899000.0
1121,70634500.0,13450333.3333,544339000.0,568649833.333
11211,23544833.3333,4483444.44444,181446333.333,189549944.444
112111,11772416.6667,2241722.22222,90723166.6667,94774972.2222
112112,11772416.6667,2241722.22222,90723166.6667,94774972.2222
11212,23544833.3333,4483444.44444,181446333.333,189549944.444
112120,23544833.3333,4483444.44444,181446333.333,189549944.444
11213,23544833.3333,4483444.44444,181446333.333,189549944.444
112130,23544833.3333,4483444.44444,181446333.333,189549944.444
1122,70634500.0,13450333.3333,544339000.0,568649833.333
11221,70634500.0,13450333.3333,544339000.0,568649833.333
112210,70634500.0,13450333.3333,544339000.0,568649833.333
1123,70634500.0,13450333.3333,544339000.0,568649833.333
11231,14126900.0,2690066.66667,108867800.0,113729966.667
112310,14126900.0,2690066.66667,108867800.0,113729966.667
11232,14126900.0,2690066.66667,108867800.0,113729966.667
112320,14126900.0,2690066.66667,108867800.0,113729966.667
11233,14126900.0,2690066.66667,108867800.0,113729966.667
112330,14126900.0,2690066.66667,108867800.0,113729966.667
11234,14126900.0,2690066.66667,108867800.0,113729966.667
112340,14126900.0,2690066.66667,108867800.0,113729966.667
11239,14126900.0,2690066.66667,108867800.0,113729966.667
112390,14126900.0,2690066.66667,108867800.0,113729966.667
1124,70634500.0,13450333.3333,544339000.0,568649833.333
11241,35317250.0,6725166.66667,272169500.0,284324916.667
112410,35317250.0,6725166.66667,272169500.0,284324916.667
11242,35317250.0,6725166.66667,272169500.0,284324916.667
112420,35317250.0,6725166.66667,272169500.0,284324916.667
1125,70634500.0,13450333.3333,544339000.0,568649833.333
11251,70634500.0,13450333.3333,544339000.0,568649833.333
112511,23544833.3333,4483444.44444,181446333.333,189549944.444
112512,23544833.3333,4483444.44444,181446333.333,189549944.444
112519,23544833.3333,4483444.44444,181446333.333,189549944.444
1129,70634500.0,13450333.3333,544339000.0,568649833.333
11291,17658625.0,3362583.33333,136084750.0,142162458.333
112910,17658625.0,3362583.33333,136084750.0,142162458.333
11292,17658625.0,3362583.33333,136084750.0,142162458.333
112920,17658625.0,3362583.33333,136084750.0,142162458.333
11293,17658625.0,3362583.33333,136084750.0,142162458.333
112930,17658625.0,3362583.33333,136084750.0,142162458.333
11299,17658625.0,3362583.33333,136084750.0,142162458.333
112990,17658625.0,3362583.33333,136084750.0,142162458.333
113,125075929.004,220436071.638,911367000.0,947727000.321
1131,41691976.3347,73478690.5459,303789000.0,315909000.107
11311,41691976.3347,73478690.5459,303789000.0,315909000.107
113110,41691976.3347,73478690.5459,303789000.0,315909000.107
1132,41691976.3347,73478690.5459,303789000.0,315909000.107
11321,41691976.3347,73478690.5459,303789000.0,315909000.107
113210,41691976.3347,73478690.5459,303789000.0,315909000.107
1133,41691976.3347,73478690.5459,303789000.0,315909000.107
11331,41691976.3347,73478690.5459,303789000.0,315909000.107
113310,41691976.3347,73478690.5459,303789000.0,315909000.107
114,116067870.161,63981131.0134,338387000.0,125419000.587
1141,58033935.0803,31990565.5067,169193500.0,62709500.2935
11411,58033935.0803,31990565.5067,169193500.0,62709500.2935
114111,19344645.0268,10663521.8356,56397833.3333,20903166.7645
114112,19344645.0268,10663521.8356,56397833.3333,20903166.7645
114119,19344645.0268,10663521.8356,56397833.3333,20903166.7645
1142,58033935.0803,31990565.5067,169193500.0,62709500.2935
11421,58033935.0803,31990565.5067,169193500.0,62709500.2935
114210,58033935.0803,31990565.5067,169193500.0,62709500.2935
115,369149000.0,105710000.0,1102117000.0,149951000.0
1151,123049666.667,35236666.6667,367372333.333,49983666.6667
11511,123049666.667,35236666.6667,367372333.333,49983666.6667
115111,20508277.7778,5872777.77778,61228722.2222,8330611.11111
115112,20508277.7778,5872777.77778,61228722.2222,8330611.11111
115113,20508277.7778,5872777.77778,61228722.2222,8330611.11111
115114,20508277.7778,5872777.77778,61228722.2222,8330611.11111
115115,20508277.7778,5872777.77778,61228722.2222,8330611.11111
115116,20508277.7778,5872777.77778,61228722.2222,8330611.11111
1152,123049666.667,35236666.6667,367372333.333,49983666.6667
11521,123049666.667,35236666.6667,367372333.333,49983666.6667
115210,123049666.667,35236666.6667,367372333.333,49983666.6667
1153,123049666.667,35236666.6667,367372333.333,49983666.6667
11531,123049666.667,35236666.6667,367372333.333,49983666.6667
115310,123049666.667,35236666.6667,367372333.333,49983666.6667
21,15039473018.1,4132528018.14,73402933000.0,14264510018.1
211,12204011672.7,3418968339.38,66852956000.0,10787554672.7
2111,12204011672.7,3418968339.38,66852956000.0,10787554672.7
21111,12204011672.7,3418968339.38,66852956000.0,10787554672.7
211111,6102005836.36,1709484169.69,33426478000.0,5393777336.36
211112,6102005836.36,1709484169.69,33426478000.0,5393777336.36
212,908563672.713,450506339.379,4150986000.0,1676893672.71
2121,302854557.571,150168779.793,1383662000.0,558964557.571
21211,302854557.571,150168779.793,1383662000.0,558964557.571
212111,100951519.19,50056259.931,461220666.667,186321519.19
212112,100951519.19,50056259.931,461220666.667,186321519.19
212113,100951519.19,50056259.931,461220666.667,186321519.19
2122,302854557.571,150168779.793,1383662000.0,558964557.571
21221,75713639.3927,37542194.9483,345915500.0,139741139.393
212210,75713639.3927,37542194.9483,345915500.0,139741139.393
21222,75713639.3927,37542194.9483,345915500.0,139741139.393
212221,37856819.6964,18771097.4741,172957750.0,69870569.6964
212222,37856819.6964,18771097.4741,172957750.0,69870569.6964
21223,75713639.3927,37542194.9483,345915500.0,139741139.393
212231,37856819.6964,18771097.4741,172957750.0,69870569.6964
212234,37856819.6964,18771097.4741,172957750.0,69870569.6964
21229,75713639.3927,37542194.9483,345915500.0,139741139.393
212291,37856819.6964,18771097.4741,172957750.0,69870569.6964
212299,37856819.6964,18771097.4741,172957750.0,69870569.6964
2123,302854557.571,150168779.793,1383662000.0,558964557.571
21231,100951519.19,50056259.931,461220666.667,186321519.19
212311,25237879.7976,12514064.9828,115305166.667,46580379.7976
212312,25237879.7976,12514064.9828,115305166.667,46580379.7976
212313,25237879.7976,12514064.9828,115305166.667,46580379.7976
212319,25237879.7976,12514064.9828,115305166.667,46580379.7976
21232,100951519.19,50056259.931,461220666.667,186321519.19
212321,25237879.7976,12514064.9828,115305166.667,46580379.7976
212322,25237879.7976,12514064.9828,115305166.667,46580379.7976
212324,25237879.7976,12514064.9828,115305166.667,46580379.7976
212325,25237879.7976,12514064.9828,115305166.667,46580379.7976
21239,100951519.19,50056259.931,461220666.667,186321519.19
212391,25237879.7976,12514064.9828,115305166.667,46580379.7976
212392,25237879.7976,12514064.9828,115305166.667,46580379.7976
212393,25237879.7976,12514064.9828,115305166.667,46580379.7976
212399,25237879.7976,12514064.9828,115305166.667,46580379.7976
213,1926897672.71,263053339.379,2398991000.0,1800061672.71
2131,1926897672.71,263053339.379,2398991000.0,1800061672.71
21311,1926897672.71,263053339.379,2398991000.0,1800061672.71
213111,385379534.543,52610667.8759,479798200.0,360012334.543
213112,385379534.543,52610667.8759,479798200.0,360012334.543
213113,385379534.543,52610667.8759,479798200.0,360012334.543
213114,385379534.543,52610667.8759,479798200.0,360012334.543
213115,385379534.543,52610667.8759,479798200.0,360012334.543
22,15595530032.7,4402113032.73,7794516000.0,12511404032.7
221,15595530032.7,4402113032.73,7794516000.0,12511404032.7
2211,0.0,0.0,0.0,0.0
22111,0.0,0.0,0.0,0.0
221111,0.0,0.0,0.0,0.0
221112,0.0,0.0,0.0,0.0
221113,0.0,0.0,0.0,0.0
221114,0.0,0.0,0.0,0.0
221115,0.0,0.0,0.0,0.0
221116,0.0,0.0,0.0,0.0
221117,0.0,0.0,0.0,0.0
221118,0.0,0.0,0.0,0.0
22112,0.0,0.0,0.0,0.0
221121,0.0,0.0,0.0,0.0
221122,0.0,0.0,0.0,0.0
2212,15595530032.7,4402113032.73,7794516000.0,12511404032.7
22121,15595530032.7,4402113032.73,7794516000.0,12511404032.7
221210,15595530032.7,4402113032.73,7794516000.0,12511404032.7
2213,0.0,0.0,0.0,0.0
22131,0.0,0.0,0.0,0.0
221310,0.0,0.0,0.0,0.0
22132,0.0,0.0,0.0,0.0
221320,0.0,0.0,0.0,0.0
22133,0.0,0.0,0.0,0.0
221330,0.0,0.0,0.0,0.0
23,1653681011.75,1743134011.75,17185990000.0,8515992011.75
236,394364003.023,869611003.023,6848305257.34,4343845003.02
2361,197182001.511,434805501.511,3424152628.67,2171922501.51
23611,197182001.511,434805501.511,3424152628.67,2171922501.51
236115,49295500.3778,108701375.378,856038157.168,542980625.378
236116,49295500.3778,108701375.378,856038157.168,542980625.378
236117,49295500.3778,108701375.378,856038157.168,542980625.378
236118,49295500.3778,108701375.378,856038157.168,542980625.378
2362,197182001.511,434805501.511,3424152628.67,2171922501.51
23621,98591000.7556,217402750.756,1712076314.34,1085961250.76
236210,98591000.7556,217402750.756,1712076314.34,1085961250.76
23622,98591000.7556,217402750.756,1712076314.34,1085961250.76
236220,98591000.7556,217402750.756,1712076314.34,1085961250.76
237,555726004.243,486124004.243,5879368361.24,2641734004.24
2371,232201000.0,55598000.0,903288000.0,396769000.0
23711,77400333.3333,18532666.6667,301096000.0,132256333.333
237110,77400333.3333,18532666.6667,301096000.0,132256333.333
23712,77400333.3333,18532666.6667,301096000.0,132256333.333
237120,77400333.3333,18532666.6667,301096000.0,132256333.333
23713,77400333.3333,18532666.6667,301096000.0,132256333.333
237130,77400333.3333,18532666.6667,301096000.0,132256333.333
2372,72198004.2428,306400004.243,1992723361.24,1710962004.24
23721,72198004.2428,306400004.243,1992723361.24,1710962004.24
237210,72198004.2428,306400004.243,1992723361.24,1710962004.24
2373,0.0,0.0,0.0,0.0
23731,0.0,0.0,0.0,0.0
237310,0.0,0.0,0.0,0.0
2379,251327000.0,124126000.0,2983357000.0,534003000.0
