Codes:,Capital_stock,land,earnings_(rtnd_appr.),cost_of_treasury_stock,additional_paid-in_capital,paid_capital_surplus,depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
1,90631869500.0,127391326500.0,0.0,64844773000.0,371964980500.0,371964980500.0,1.5965112045e+12,642978395500.0,999346300000.0,407741845000.0,44022709500.0
11,4606126006.75,11988227027.0,0.0,1607229009.0,22988862009.0,22988862009.0,66810347006.8,-4816530500.0,48303754513.5,9811969988.75,1388143993.25
111,3676871077.65,9569682888.24,0.0,1282981370.83,18351013781.4,18351013781.4,53331809038.0,-3844827880.11,38558797056.8,7832471064.3,1108095282.87
1111,735374215.53,1913936577.65,0.0,256596274.166,3670202756.29,3670202756.29,10666361807.6,-768965576.022,7711759411.37,1566494212.86,221619056.574
11111,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
111110,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
11112,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
111120,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
11113,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
111130,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
11114,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
111140,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
11115,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
111150,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
11116,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
111160,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
11119,105053459.361,273419511.093,0.0,36656610.5951,524314679.47,524314679.47,1523765972.51,-109852225.146,1101679915.91,223784887.551,31659865.2249
111191,52526729.6807,136709755.546,0.0,18328305.2976,262157339.735,262157339.735,761882986.257,-54926112.573,550839957.955,111892443.776,15829932.6124
111199,52526729.6807,136709755.546,0.0,18328305.2976,262157339.735,262157339.735,761882986.257,-54926112.573,550839957.955,111892443.776,15829932.6124
1112,735374215.53,1913936577.65,0.0,256596274.166,3670202756.29,3670202756.29,10666361807.6,-768965576.022,7711759411.37,1566494212.86,221619056.574
11121,735374215.53,1913936577.65,0.0,256596274.166,3670202756.29,3670202756.29,10666361807.6,-768965576.022,7711759411.37,1566494212.86,221619056.574
111211,367687107.765,956968288.824,0.0,128298137.083,1835101378.14,1835101378.14,5333180903.8,-384482788.011,3855879705.68,783247106.43,110809528.287
111219,367687107.765,956968288.824,0.0,128298137.083,1835101378.14,1835101378.14,5333180903.8,-384482788.011,3855879705.68,783247106.43,110809528.287
1113,735374215.53,1913936577.65,0.0,256596274.166,3670202756.29,3670202756.29,10666361807.6,-768965576.022,7711759411.37,1566494212.86,221619056.574
11131,245124738.51,637978859.216,0.0,85532091.3886,1223400918.76,1223400918.76,3555453935.86,-256321858.674,2570586470.46,522164737.62,73873018.8581
111310,245124738.51,637978859.216,0.0,85532091.3886,1223400918.76,1223400918.76,3555453935.86,-256321858.674,2570586470.46,522164737.62,73873018.8581
11132,245124738.51,637978859.216,0.0,85532091.3886,1223400918.76,1223400918.76,3555453935.86,-256321858.674,2570586470.46,522164737.62,73873018.8581
111320,245124738.51,637978859.216,0.0,85532091.3886,1223400918.76,1223400918.76,3555453935.86,-256321858.674,2570586470.46,522164737.62,73873018.8581
11133,245124738.51,637978859.216,0.0,85532091.3886,1223400918.76,1223400918.76,3555453935.86,-256321858.674,2570586470.46,522164737.62,73873018.8581
111331,35017819.7871,91139837.0308,0.0,12218870.1984,174771559.823,174771559.823,507921990.838,-36617408.382,367226638.637,74594962.5171,10553288.4083
111332,35017819.7871,91139837.0308,0.0,12218870.1984,174771559.823,174771559.823,507921990.838,-36617408.382,367226638.637,74594962.5171,10553288.4083
111333,35017819.7871,91139837.0308,0.0,12218870.1984,174771559.823,174771559.823,507921990.838,-36617408.382,367226638.637,74594962.5171,10553288.4083
111334,35017819.7871,91139837.0308,0.0,12218870.1984,174771559.823,174771559.823,507921990.838,-36617408.382,367226638.637,74594962.5171,10553288.4083
111335,35017819.7871,91139837.0308,0.0,12218870.1984,174771559.823,174771559.823,507921990.838,-36617408.382,367226638.637,74594962.5171,10553288.4083
111336,35017819.7871,91139837.0308,0.0,12218870.1984,174771559.823,174771559.823,507921990.838,-36617408.382,367226638.637,74594962.5171,10553288.4083
111339,35017819.7871,91139837.0308,0.0,12218870.1984,174771559.823,174771559.823,507921990.838,-36617408.382,367226638.637,74594962.5171,10553288.4083
1114,735374215.53,1913936577.65,0.0,256596274.166,3670202756.29,3670202756.29,10666361807.6,-768965576.022,7711759411.37,1566494212.86,221619056.574
11141,367687107.765,956968288.824,0.0,128298137.083,1835101378.14,1835101378.14,5333180903.8,-384482788.011,3855879705.68,783247106.43,110809528.287
111411,183843553.882,478484144.412,0.0,64149068.5415,917550689.072,917550689.072,2666590451.9,-192241394.006,1927939852.84,391623553.215,55404764.1436
111419,183843553.882,478484144.412,0.0,64149068.5415,917550689.072,917550689.072,2666590451.9,-192241394.006,1927939852.84,391623553.215,55404764.1436
