Codes:,tax_exempt_general_partners,partnership_general_partners,individual_general_partners,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,corporate_limited_partners,tax_exempt_limited_partners
522390,398078.823676,1265762.89939,8033357.78448,15915028.5643,25138735.1059,62123604.2789,50144662.7124,-14208.9503731,177341017.531,6439639.88117
523,1704127000.0,70429358000.0,7051687000.0,71928401000.0,25906324773.9,237677680587.0,104061262226.0,3321912226.07,129475037000.0,62794824773.9
5231,17444500.0,526572500.0,79854500.0,712324944.708,90925987.5001,3046153532.45,1120976512.5,33221012.4999,2144883000.0,-19359567.7924
52311,12893563.5157,389199803.628,59021987.8911,526492987.384,67205136.0063,2251470322.98,828535175.187,24554285.5756,1585324038.77,-14309026.7401
523110,12893563.5157,389199803.628,59021987.8911,526492987.384,67205136.0063,2251470322.98,828535175.187,24554285.5756,1585324038.77,-14309026.7401
52312,4550936.48428,137372696.372,20832512.1089,185831957.324,23720851.4938,794683209.467,292441337.313,8666726.92429,559558961.232,-5050541.05228
523120,4550936.48428,137372696.372,20832512.1089,185831957.324,23720851.4938,794683209.467,292441337.313,8666726.92429,559558961.232,-5050541.05228
52313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5232,17444500.0,526572500.0,79854500.0,712325000.0,90926000.0,3046153500.0,1120976500.0,33221000.0,2144883000.0,-19359500.0
52321,17444500.0,526572500.0,79854500.0,712325000.0,90926000.0,3046153500.0,1120976500.0,33221000.0,2144883000.0,-19359500.0
523210,17444500.0,526572500.0,79854500.0,712325000.0,90926000.0,3046153500.0,1120976500.0,33221000.0,2144883000.0,-19359500.0
5239,1669238000.0,69376213000.0,6891978000.0,70503751055.3,25724472786.4,231585373554.0,101819309214.0,3255470213.57,125185271000.0,62833543841.7
52391,417309500.0,17344053250.0,1722994500.0,17625937763.8,6431118196.61,57896343388.6,25454827303.4,813867553.392,31296317750.0,15708385960.4
523910,417309500.0,17344053250.0,1722994500.0,17625937763.8,6431118196.61,57896343388.6,25454827303.4,813867553.392,31296317750.0,15708385960.4
