bea_code,sector_code,major_code,minor_code,minor_code_alt,notes
110C,11,111,111005,111,
113F,11,113,113005,113,
113F,11,114,114005,114,
2110,21,211,211110,211,
2120,21,212,212110,212110,
2120,21,212,212200,212200,
2120,21,212,212315,212315,
2130,21,213,213110,213,
2200,22,221,221100,221100,
2200,22,221,221210,221210,
2200,22,221,221300,221300,
2200,22,221,221500,221500,
2300,23,236,236105,236,
2300,23,237,237105,237105,
2300,23,237,237210,237210,
2300,23,238,238210,238210,
2300,23,238,238220,238220,
2300,23,238,238905,238905,
311A,31,311,311115,311115,
311A,31,311,311300,311300,
311A,31,311,311400,311400,
311A,31,311,311500,311500,
311A,31,311,311615,311615,
311A,31,311,311800,311800,
311A,31,311,311900,311900,
311A,31,312,312110,312110,
311A,31,312,312120,312120,
311A,31,312,312135,312135,
311A,31,312,312200,312200,
313T,31,313,313000,313,
313T,31,314,314000,314,
315A,31,315,315100,315100,
315A,31,315,315215,315215,
315A,31,315,315990,315990,
315A,31,316,316115,316,
3210,32,321,321115,321,
3220,32,322,322100,322100,
3220,32,322,322200,322200,
3230,32,323,323100,323100,
3240,32,324,324110,324110,
3240,32,324,324125,324125,
3250,32,325,325100,325100,
3250,32,325,325200,325200,
3250,32,325,325410,325410,
3250,32,325,325500,325500,
3250,32,325,325600,325600,
3250,32,325,325905,325905,
3260,32,326,326100,326100,
3260,32,326,326200,326200,
3270,32,327,327105,327105,
3270,32,327,327210,327210,
3270,32,327,327305,327305,
3310,33,331,331115,331115,
3310,33,331,331315,331315,
3310,33,331,331500,331500,
3320,33,332,332110,332110,
3320,33,332,332215,332215,
3320,33,332,332300,332300,
3320,33,332,332400,332400,
3320,33,332,332810,332810,
3320,33,332,332900,332900,
3330,33,333,333100,333100,
3330,33,333,333200,333200,
3330,33,333,333310,333310,
3330,33,333,333410,333410,
3330,33,333,333510,333510,
3330,33,333,333610,333610,
3330,33,333,333900,333900,
3340,33,334,334110,334110,
3340,33,334,334200,334200,
3340,33,334,334315,334315,
3340,33,334,334410,334410,
3340,33,334,334500,334500,
3350,33,335,335105,335105,
3350,33,335,335310,335310,
3350,33,335,335900,335900,
336M,33,336,336105,336105,
336O,33,336,336410,336410,
336O,33,336,336610,336610,
336O,33,336,336995,336995,
3370,33,337,337000,337,
338A,33,339,339110,339110,
338A,33,339,339900,339900,
,41,,,,This sector is the sum of sectors 42 and 44.
4200,42,423,423100,423100,
4200,42,423,423300,423300,
4200,42,423,423400,423400,
4200,42,423,423500,423500,
4200,42,423,423600,423600,
4200,42,423,423700,423700,
4200,42,423,423800,423800,
4200,42,423,423905,423905,
4200,42,424,424100,424100,
4200,42,424,424210,424210,
4200,42,424,424300,424300,
4200,42,424,424400,424400,
4200,42,424,424500,424500,
4200,42,424,424600,424600,
4200,42,424,424700,424700,
4200,42,424,424800,424800,
4200,42,424,424915,424915,
4200,42,425,425115,425,
44RT,44,441,441115,441115,
44RT,44,441,441215,441215,
44RT,44,443,443115,443,
44RT,44,444,444115,444115,
44RT,44,444,444130,444130,
44RT,44,444,444190,444190,
44RT,44,444,444200,444200,
44RT,44,445,445115,445115,
44RT,44,445,445310,445310,
44RT,44,443,443115,443,
44RT,44,446,446115,446,
44RT,44,447,447100,447,
44RT,44,448,448115,448,
44RT,44,451,451115,451,
44RT,44,452,452115,452,
44RT,44,453,453115,453,
44RT,44,454,454115,454,
44RT,46,460,460000,460,This sector is not in the corporate data.
4810,48,481,481000,481000,
4820,48,481,482110,482110,
4830,48,481,483000,483000,
4840,48,484,484115,484,
4850,48,485,485115,485,
4860,48,486,486000,486,
487S,48,487,487005,487,
4930,49,493,493100,493,
5110,51,511,511110,511110,
5110,51,511,511120,511120,
5110,51,511,511130,511130,
5110,51,511,511145,511145,
5110,51,511,511210,511210,
5120,51,512,512100,512100,
5120,51,512,512200,512200,
5130,51,515,515105,515,
5130,51,517,517000,517,
5140,51,518,518210,518,
5110,51,519,519100,519,
5220,52,520,,520,this major is the sum of two other majors: 521 and 522
5220,52,521,522110,522110,
5220,52,521,522125,522125,
5220,52,522,522215,522215,
5220,52,522,522292,522292,
5220,52,522,522295,522295,
5220,52,522,522300,522300,
5230,52,523,523110,523110,
5230,52,523,523120,523120,
5230,52,523,523135,523135,
5230,52,523,523905,523905,
5240,52,524,524140,524140,
5240,52,524,524142,524142,
5240,52,524,524143,524143,
5240,52,524,524156,524156,
5240,52,524,524159,524159,
5240,52,524,524210,524210,
5240,52,524,524290,524290,
5250,52,525,525910,525910,
5250,52,525,525995,525995,
5310,53,531,531115,531115,
5310,53,531,531135,531135,
5310,53,531,531210,531210,
5310,53,531,531315,531315,
5320,53,532,532100,532100,
5320,53,532,532215,532215,
5320,53,532,532400,532400,
5320,53,533,533110,533,
5410,54,541,541115,541115,
5412,54,541,541215,541215,
5412,54,541,541315,541315,
5412,54,541,541400,541400,
5415,54,541,541515,541515,
5412,54,541,541600,541600,
5412,54,541,541700,541700,
5412,54,541,541800,541800,
5412,54,541,541915,541915,
5500,55,551,551111,551111,
5500,55,551,551112,551112,
5610,56,561,561300,561300,
5610,56,561,561500,561500,
5610,56,561,561905,561905,
5620,56,562,562000,562,
6100,61,611,611000,611,
6210,62,621,621115,621115,
