YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2013,3,1,2,0,799538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111585815,0,106294177,0,33299,0,2021339,0,3236999,0,101866357,0,41408348,0,7108647,0,12208914,0,1174834,0,476183,0,5733463,0,2960947,0,797253,0,185997,0,1570898,1,325,0,1167329,0,392244,0,814101,0,416727,0,25450145,0,9719458,0,22944489,0,30470591,0,7526103,0,9686159,0,16947884,0,7261725,0,13191639,0,82086,0,172596,0,37068,0,48892,0,12850997,0,68265,0,327436,0,259171,0,-1575,0,6510,1,8085,1,9700,1,7494,1,1718
2013,3,1,1,0,4257909,0,3741797771,0,518976315,0,860344870,0,14445251,0,465204868,0,68030331,0,39778219,0,207218088,0,67651004,0,74588500,0,490204227,0,1739603435,0,1096145753,0,20169612,0,7597048,0,129591892,0,161473494,0,60737903,0,77888872,0,3741797771,0,429374826,0,304988277,0,753875434,0,272132282,0,643309865,0,153245816,0,1184871271,0,95664451,0,469825487,0,692477132,0,73095799,0,6890396496,0,6745095028,0,1700541,0,15958585,0,127642343,0,6507752631,0,4193164145,0,253983002,0,730341569,0,42979566,0,12036519,0,168701179,0,139695178,0,40195470,0,10347551,0,89155046,0,774513,0,54233528,0,27579369,0,66400118,0,1956856,0,676209023,0,382643865,0,446185575,0,515948187,0,69762612,0,380943325,0,455520185,0,74576860,0,53569651,0,7608136,0,8366583,0,2931084,0,1794718,0,32869130,0,10705797,0,14220363,0,3514566,0,966802,0,1722386,0,755584,0,126672,0,92708,0,31505
2013,3,11,12,0,69,0,17738310,0,773241,0,3091866,0,11911,0,4188574,0,141111,0,0,0,848598,0,173808,0,15265,0,2663613,0,8639547,0,4703872,0,365773,0,4116,0,1200804,0,200877,0,68864,0,223998,0,17738310,0,1055535,0,2739101,0,1173471,0,164400,0,3235283,0,306711,0,9063809,0,228416,0,1484630,0,7585011,0,234248,0,21179290,0,20830387,0,6742,0,22630,0,319531,0,20820015,0,14026544,0,112359,0,957453,0,155552,0,9556,0,206431,0,219941,0,191995,0,35408,0,579007,0,29975,0,50491,0,88378,0,153329,0,1830,0,4001767,0,359275,0,572975,0,802885,0,229910,0,352533,0,645988,0,293455,0,208185,0,118401,0,39506,0,2079,0,-6,0,48205,0,12402,0,13882,0,1480,0,-145,0,905,0,1050,0,1459,0,1459,0,0
2013,3,11,11,0,93,0,6470557,0,480237,0,992428,0,6150,0,1141905,0,12469,0,0,0,396306,0,81118,0,31253,0,1024975,0,3145449,0,1827566,0,160902,0,30429,0,638368,0,177350,0,20802,0,72742,0,6470557,0,466936,0,742952,0,472789,0,152172,0,1220773,0,94186,0,3320750,0,132078,0,990810,0,2244141,0,46279,0,6380138,0,6126910,0,264,0,38858,0,214107,0,6153211,0,3982945,0,57989,0,413074,0,68692,0,3802,0,95936,0,80345,0,62372,0,31049,0,156943,0,0,0,12964,0,8174,0,38017,0,1860,0,1139050,0,226927,0,299087,0,413608,0,114521,0,226663,0,360453,0,133790,0,54850,0,26720,0,21082,0,621,0,1,0,6425,0,17432,0,23319,0,5886,0,142,0,260,0,119,0,1,0,1,0,0
2013,3,11,10,0,200,0,6969551,0,478830,0,1174124,0,6201,0,1161940,1,7,1,102604,0,214255,0,203935,1,124817,0,766058,0,3886813,0,2330941,1,303100,1,25246,0,752285,0,25848,0,15183,0,152507,0,6969551,0,578590,0,863619,0,491005,0,493520,0,1508880,0,89841,0,2944096,0,166865,0,377817,0,2455459,0,56046,0,7158085,0,6890446,1,7389,0,11484,0,248766,0,7080327,0,4435481,0,55427,0,664058,0,91069,0,5638,0,136360,0,103906,0,81800,0,5967,0,222772,1,4095,0,13347,0,13058,0,45139,1,2113,0,1200096,0,77758,0,319214,0,510436,0,191223,0,70369,0,305494,0,235126,0,220110,0,45900,0,13915,1,45095,0,6816,0,108383,0,25779,0,26367,1,588,1,2956,1,3309,1,353,0,0,0,0,0,0
2013,3,11,9,0,590,0,9260855,0,685284,0,744236,0,6780,0,1634473,0,269,0,0,0,747083,0,220617,1,26564,0,1143731,0,5540696,0,3629353,1,109391,1,11128,0,1813173,0,36063,0,8255,0,214791,0,9260855,0,626464,0,1495358,0,433084,0,1243286,0,2132123,0,186873,0,3143667,0,203444,0,2647199,0,464548,0,171523,0,11655054,0,10629533,1,1050,0,25231,0,999239,0,11482486,0,6107355,0,107660,0,1044184,0,198897,0,3785,0,291591,0,185131,0,123871,0,7267,0,385391,0,0,0,14380,0,18767,0,103182,1,1031,0,2889994,0,172568,0,304356,0,569300,0,264944,0,171518,0,502612,0,331094,0,112599,0,28335,0,27700,0,39920,0,-2092,0,18737,0,19452,0,22852,1,3400,0,788,0,788,0,0,1,251,1,251,0,0
2013,3,11,8,0,1233,0,8431364,0,1543522,0,780583,1,29,0,879582,1,30188,1,72,0,295776,1,27448,1,2783,0,837087,0,5892907,0,3486230,1,12855,1,2796,0,1193861,0,25834,0,16183,0,414104,0,8431364,0,677541,0,701939,0,308249,0,440468,0,1854806,0,36350,0,4412011,0,716346,0,2225589,0,1643196,1,173121,0,13130600,0,12706360,1,600,0,43676,0,379963,0,12634849,0,9218619,0,66562,0,561627,0,154646,1,13967,0,341786,0,128893,0,129805,0,1074,0,457454,1,351,0,10646,0,3353,0,13718,1,449,0,1531899,0,495751,0,1170288,0,1334316,0,164028,0,495151,0,688650,0,193499,0,657703,0,62745,0,37183,1,554837,1,-47,0,2985,0,17243,0,21102,1,3859,1,191,1,191,0,0,0,99,0,99,0,0
2013,3,11,7,0,10278,0,20262614,0,2216943,0,733248,1,4,0,1661621,0,0,1,11663,0,964480,0,1194069,1,24652,0,1606407,0,21207488,0,15698672,1,319959,1,81192,0,4468532,0,414661,0,102889,0,1321648,0,20262614,0,826500,0,2147351,0,704480,0,4782402,0,5586296,0,1193201,0,5022384,0,1579444,0,9692747,0,-5695768,0,554039,0,28131115,0,22740313,1,4706,0,196648,0,5189448,0,26896529,0,10077893,0,359278,0,3799594,0,739469,1,12782,0,1330211,0,617776,0,294394,0,27394,0,1190994,0,0,0,95274,0,9887,0,142849,1,311,0,8198424,0,1234586,0,1691831,0,2580015,0,888183,0,1229880,0,2284346,0,1054466,0,231681,0,11448,0,53522,1,101203,1,775,0,64734,0,180812,0,188028,1,7215,1,49458,1,50939,1,1481,1,5557,1,5557,0,0
2013,3,11,6,0,11820,0,8497204,0,1480031,0,332682,0,0,0,545586,0,0,0,0,0,498764,0,482287,1,75016,0,669274,0,11770504,0,9884374,0,0,0,0,0,2047490,0,73888,0,22765,0,428823,0,8497204,0,308695,0,662827,0,217333,0,2566427,0,2904935,0,293919,0,1543069,0,1036970,0,1634260,0,-831525,1,296635,0,13205746,0,11615796,1,163,0,153397,0,1436391,0,12145192,0,4146315,0,342210,0,1322727,0,473619,1,6459,0,628655,0,301903,0,164447,1,1941,0,633795,0,0,0,16016,1,10587,0,104424,1,1519,0,3990573,0,1060555,0,1199706,0,1545718,0,346012,0,1060392,0,1439484,0,379092,0,27964,1,1112,0,20267,1,134,1,851,1,5601,0,102960,0,103475,1,515,1,8391,1,8391,0,0,1,734,1,734,0,0
2013,3,11,5,0,11262,0,4032226,0,761353,1,74119,0,0,1,163769,0,0,0,0,0,81753,0,449520,0,0,0,226981,0,10027071,0,8267309,1,60832,1,13184,1,315227,0,90284,0,39562,0,101373,0,4032226,0,93775,0,563107,0,68365,0,314361,0,1587955,1,69938,0,1334725,0,1007092,0,1655375,0,-1327384,1,359,0,9206262,0,7666681,1,705,0,124016,0,1414859,0,7961640,0,1183833,0,232439,0,972068,0,263168,0,0,0,769996,0,207148,0,95475,1,5862,0,555384,0,0,1,8632,1,11906,1,48428,0,0,0,3607300,0,1244623,0,1274333,0,1471469,0,197137,0,1243917,0,1462310,0,218392,0,27892,1,1067,0,1634,1,1402,1,38,1,23751,1,2523,1,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
