bea_inv_name,bea_code,sector_code,major_code,minor_code,minor_code_alt,notes
"Wholesale trade, Nondurable goods industries",4200,42,424,424915,424915,
"Wholesale trade, Nondurable goods industries",4200,42,425,425115,425,
Motor vehicle and parts dealers,44RT,44,441,441115,441115,
Motor vehicle and parts dealers,44RT,44,441,441215,441215,
Other retail stores,44RT,44,442,442115,442,
Other retail stores,44RT,44,444,444115,444115,
Other retail stores,44RT,44,444,444130,444130,
Other retail stores,44RT,44,444,444190,444190,
Other retail stores,44RT,44,444,444200,444200,
Food and beverage stores,44RT,44,445,445115,445115,
Other retail stores,44RT,44,445,445310,445310,
Other retail stores,44RT,44,443,443115,443,
Other retail stores,44RT,44,446,446115,446,
Other retail stores,44RT,44,447,447100,447,
Other retail stores,44RT,44,448,448115,448,
Other retail stores,44RT,44,451,451115,451,
General merchandise stores,44RT,44,452,452115,452,
Other retail stores,44RT,44,453,453115,453,
Other retail stores,44RT,44,454,454115,454,
Other retail stores,44RT,46,460,460000,46,
Other industries,4810,48,481,481000,481000,
Other industries,4820,48,481,482110,482110,
Other industries,4830,48,481,483000,483000,
Other industries,4840,48,484,484115,484,
Other industries,4850,48,485,485115,485,
Other industries,4860,48,486,486000,486,
Other industries,487S,48,487,487005,487,
Other industries,4930,48,493,493100,493,
Other industries,5110,51,511,511110,511110,
Other industries,5110,51,511,511120,511120,
Other industries,5110,51,511,511130,511130,
Other industries,5110,51,511,511145,511145,
Other industries,5110,51,511,511210,511210,
Other industries,5120,51,512,512100,512100,
Other industries,5120,51,512,512200,512200,
Other industries,5130,51,515,515105,515,
Other industries,5130,51,517,517000,517,
Other industries,5140,51,518,518210,518,
Other industries,5110,51,519,519100,519,
Other industries,5220,52,520,,,this major is the sum of two other majors: 521 and 522
Other industries,5220,52,521,522110,522110,
Other industries,5220,52,521,522125,522125,
Other industries,5220,52,522,522215,522215,
Other industries,5220,52,522,522292,522292,
Other industries,5220,52,522,522295,522295,
Other industries,5220,52,522,522300,522300,
Other industries,5230,52,523,523110,523110,
Other industries,5230,52,523,523120,523120,
Other industries,5230,52,523,523135,523135,
Other industries,5230,52,523,523905,523905,
Other industries,5240,52,524,524140,524140,
Other industries,5240,52,524,524142,524142,
Other industries,5240,52,524,524143,524143,
Other industries,5240,52,524,524156,524156,
Other industries,5240,52,524,524159,524159,
Other industries,5240,52,524,524210,524210,
Other industries,5240,52,524,524290,524290,
Other industries,5250,52,525,525910,525910,
Other industries,5250,52,525,525995,525995,
Other industries,5310,53,531,531115,531115,
Other industries,5310,53,531,531135,531135,
Other industries,5310,53,531,531210,531210,
Other industries,5310,53,531,531315,531315,
Other industries,5320,53,532,532100,532100,
Other industries,5320,53,532,532215,532215,
Other industries,5320,53,532,532400,532400,
Other industries,5320,53,533,533110,533,
Other industries,5411,54,541,541115,541115,
Other industries,5412,54,541,541215,541215,
Other industries,5412,54,541,541315,541315,
Other industries,5412,54,541,541400,541400,
Other industries,5415,54,541,541515,541515,
Other industries,5412,54,541,541600,541600,
Other industries,5412,54,541,541700,541700,
Other industries,5412,54,541,541800,541800,
