NAICS,corp,non_corp
"111,112",0.0752405356347,0.0752405356347
"113,114,115",0.0980432646593,0.0980432646593
211,0.0729450179377,0.0729450179377
212,0.0707518619775,0.0707518619775
213,0.103123229354,0.103123229354
22,0.0353928391782,0.0353928391782
23,0.12085154324,0.12085154324
321,0.0859476091163,0.0859476091163
327,0.101552483616,0.101552483616
331,0.0815892333944,0.0815892333944
332,0.0913633111535,0.0913633111535
333,0.109209106398,0.109209106398
334,0.17442389215,0.17442389215
335,0.103360564724,0.103360564724
3361-3,0.142848531051,0.142848531051
3364-9,0.124469480223,0.124469480223
337,0.0942649566151,0.0942649566151
339,0.117283595104,0.117283595104
"311,312",0.0994789688822,0.0994789688822
"313,314",0.08040664139,0.08040664139
"315,316",0.0709391584643,0.0709391584643
322,0.109568124258,0.109568124258
323,0.112874272708,0.112874272708
324,0.106070720703,0.106070720703
325,0.101045735348,0.101045735348
326,0.113177672466,0.113177672466
42,0.114351562312,0.114351562312
44-45,0.0606968845538,0.0606968845538
481,0.0752282576236,0.0752282576236
482,0.0314003197824,0.0314003197824
483,0.0722754017979,0.0722754017979
484,0.142946894443,0.142946894443
485,0.0834398419478,0.0834398419478
486,0.0415286536402,0.0415286536402
"487,488,492",0.0686591367861,0.0686591367861
493,0.0506013174213,0.0506013174213
511,0.151632966053,0.151632966053
512,0.108497587997,0.108497587997
"515,517",0.0712276928156,0.0712276928156
"518,519",0.198704760903,0.198704760903
521,0.0707269294075,0.0707269294075
522,0.11543592097,0.11543592097
523,0.0867645098674,0.0867645098674
524,0.112715262384,0.112715262384
525,0.0284516476754,0.0284516476754
531,0.0330081830671,0.0330081830671
"532,533",0.147503602455,0.147503602455
5411,0.0927245922655,0.0927245922655
5415,0.184371433657,0.184371433657
5412,0.15200573503,0.15200573503
55,0.0933712810512,0.0
561,0.15225514678,0.15225514678
562,0.0579296300015,0.0579296300015
61,0.0433698035749,0.0433698035749
621,0.0831160254731,0.0831160254731
622,0.0551508398522,0.0551508398522
623,0.0485365974075,0.0485365974075
624,0.0536922662052,0.0536922662052
"711,712",0.0816224093859,0.0816224093859
713,0.0536252952711,0.0536252952711
721,0.0402611333257,0.0402611333257
722,0.0703179828575,0.0703179828575
81,0.0480277080924,0.0480277080924
