Codes:,corp,non_corp
11,0.199706851442,0.800293148558
111,0.381363164599,0.618636835401
113,0.199554369992,0.800445630008
114,0.272759784847,0.727240215153
21,0.576897999474,0.423102000526
211110,0.549640348768,0.450359651232
212110,1.0,0.0
212200,1.0,0.0
212315,1.0,0.0
213110,0.72280343616,0.27719656384
22,0.943466405002,0.0565335949976
23,0.327334758418,0.672665241582
31,0.801442737249,0.198557262751
311,0.80224155758,0.19775844242
312,0.762032403826,0.237967596174
313,0.760497498518,0.239502501482
315,0.855467764926,0.144532235074
316,0.961760366737,0.038239633263
321,0.77378438528,0.22621561472
322,0.77653414111,0.22346585889
323,0.824815635484,0.175184364516
324,0.760288025034,0.239711974966
325,0.804348480031,0.195651519969
326,0.829141022053,0.170858977947
327,0.836451589417,0.163548410583
331,0.815955065268,0.184044934732
332,0.802079570247,0.197920429753
333,0.822300772625,0.177699227375
334,0.921381365067,0.078618634933
335,0.967896998106,0.0321030018937
336105,1.0,0.0
336410,1.0,0.0
336610,1.0,0.0
336995,1.0,0.0
337,0.827996696876,0.172003303124
339,0.832718526451,0.167281473549
42,0.542209219957,0.457790780043
44,0.550171188976,0.449828811024
48,0.661664097808,0.338335902192
481000,0.912714959615,0.0872850403851
482110,1.0,0.0
483000,0.643744200884,0.356255799116
484,0.739083417784,0.260916582216
485,0.697708632386,0.302291367614
486,0.526919966227,0.473080033773
487,0.8585322025,0.1414677975
493,0.629724994667,0.370275005333
51,0.583189617544,0.416810382456
511,0.689060231093,0.310939768907
512,0.610637202331,0.389362797669
515,0.547238931128,0.452761068872
517,0.582867997987,0.417132002013
518,0.67129206291,0.32870793709
519,0.628637363706,0.371362636294
52,0.2338905267,0.7661094733
520,0.99680871456,0.00319128544006
521,0.584325780679,0.415674219321
522,0.251055834558,0.748944165442
523,0.217571305225,0.782428694775
524,0.357423637983,0.642576362017
525,0.254084417468,0.745915582532
53,0.19225031588,0.80774968412
531,0.115627614886,0.884372385114
532,0.547048519837,0.452951480163
533,0.386643311309,0.613356688691
54,0.0799726916046,0.920027308395
541115,0.0741577093148,0.925842290685
541515,0.0926450267644,0.907354973236
541215,0.0746656595242,0.925334340476
541315,0.0915874267596,0.90841257324
541400,0.0889064616504,0.91109353835
541600,0.0760763599389,0.923923640061
541700,1.0,0.0
541800,0.0839351615196,0.91606483848
541915,0.0742539649277,0.925746035072
55,1.0,0.0
561,0.228915036202,0.771084963798
562,0.223879929976,0.776120070024
61,0.22701826902,0.77298173098
62,0.259073267151,0.740926732849
621,0.928223767742,0.0717762322578
626,0.254659318667,0.745340681333
626,0.254659318667,0.745340681333
625,0.327778517842,0.672221482158
71,0.331516721236,0.668483278764
711,0.305219056599,0.694780943401
713,0.344549298497,0.655450701503
72,0.294983983531,0.705016016469
721,0.244004452986,0.755995547014
722,0.500919434481,0.499080565519
81,0.146889133535,0.853110866465
