,Asset Type,delta,z_c,z_c_d,z_c_e,z_nc,rho_c,rho_c_d,rho_c_e,rho_nc,metr_c,metr_c_d,metr_c_e,metr_nc,mettr_c,mettr_c_d,mettr_c_e,mettr_nc
0,Mainframes,0.3,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0895778963325,0.0562368272849,0.113040765663,0.0838598141555,0.29178957536,0.0397751330029,0.380754371314,0.27160661965,0.370256354036,0.20173719778,0.430151783642,0.318113441948
1,PCs,0.11,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.076249735251,0.047143161883,0.0969468589711,0.0746371083762,0.167997111188,-0.145447141071,0.277954946216,0.181601018084,0.260179581627,0.0477565453122,0.335552699981,0.233854562731
2,DASDs,0.28,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0881749320082,0.0552795993479,0.111346670222,0.0828890030208,0.28052113503,0.0231477681274,0.371332794589,0.263075543412,0.360236410174,0.187914386754,0.421481768961,0.310127062103
3,Printers,0.35,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0930853071435,0.0586298971275,0.117276004266,0.0862868419922,0.318474612731,0.0789681946302,0.403117454093,0.292094459618,0.393984799907,0.234319527479,0.4507309565,0.337293164135
4,Terminals,0.27,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.087473449846,0.0548009853794,0.110499622501,0.0824035974535,0.274751366138,0.0146162587007,0.366513672937,0.258734625721,0.355105907752,0.180821895343,0.41704707011,0.306063305481
5,Tape drives,0.28,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0881749320082,0.0552795993479,0.111346670222,0.0828890030208,0.28052113503,0.0231477681274,0.371332794589,0.263075543412,0.360236410174,0.187914386754,0.421481768961,0.310127062103
6,Storage devices,0.28,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0881749320082,0.0552795993479,0.111346670222,0.0828890030208,0.28052113503,0.0231477681274,0.371332794589,0.263075543412,0.360236410174,0.187914386754,0.421481768961,0.310127062103
7,System integrators,0.3,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0895778963325,0.0562368272849,0.113040765663,0.0838598141555,0.29178957536,0.0397751330029,0.380754371314,0.27160661965,0.370256354036,0.20173719778,0.430151783642,0.318113441948
8,Communications,0.1129,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0804536488675,0.0497343826883,0.102330750539,0.0775658436731,0.211471438611,-0.0857679754153,0.315943647133,0.212502170857,0.298837133825,0.0973695678948,0.370511030661,0.262782723355
9,Nonelectro medical instruments,0.135,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0780034406565,0.0483396968043,0.0990644782726,0.0758506222946,0.186702542015,-0.117094304885,0.293389505294,0.194694365577,0.276812528274,0.0713270809678,0.349756039583,0.246111919671
10,Electro medical instruments,0.1834,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0813986143214,0.050656188412,0.10316418924,0.0781999852404,0.220625553287,-0.0660099327021,0.321469974073,0.21888817088,0.306977010549,0.113795002274,0.375596520818,0.268760986878
11,Nonmedical instruments,0.135,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0825364933086,0.0511746075112,0.104823585897,0.0790057092381,0.231370301101,-0.0552108286935,0.332211358722,0.22685418437,0.316531284855,0.122772610878,0.385481061944,0.276218382382
12,Photocopy and related equipment,0.18,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0811601103863,0.0504934596627,0.102876193015,0.0780349473475,0.218335217904,-0.0694454363147,0.319570466711,0.217236179628,0.30494043483,0.110938968407,0.373848537737,0.267214472784
13,Office and accounting equipment,0.3119,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0992086734726,0.0627029229492,0.124777548556,0.0905311489862,0.36053978166,0.138796128472,0.439001640841,0.325282687867,0.431389322529,0.284056225373,0.483752650746,0.368362373904
14,Nuclear fuel,0.25,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0860704855216,0.0538437574423,0.10880552706,0.0814327863189,0.262929683555,-0.00290177664231,0.356650329339,0.249897537963,0.344594018584,0.166258644105,0.407970528434,0.297790452491
15,Other fabricated metals,0.0917,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0784556261458,0.048352809555,0.0999394333636,0.0761846151674,0.191390049171,-0.116791361185,0.299575776607,0.198224820405,0.280980679073,0.0715789268587,0.35544883015,0.249416960265
16,Steam engines,0.0516,0.563432176046,0.672658908559,0.503475158859,0.556405157281,0.0894222312288,0.054671351251,0.114210918829,0.0838448180514,0.290556731494,0.0122797632698,0.387098880583,0.271476342512,0.369160104159,0.178879498875,0.435990189476,0.317991482809
17,Internal combustion engines,0.2063,0.640204603668,0.73755141548,0.583909226066,0.633720785601,0.115064663785,0.073723971965,0.143604705067,0.101484616959,0.448657842353,0.267538107881,0.512550790258,0.398106478215,0.509744267451,0.391083169559,0.551434762122,0.436536474719
18,Metalworking machinery,0.1031,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0795300345905,0.0490957309569,0.101225330335,0.0769273512507,0.202313939298,-0.0998919650969,0.308473484176,0.205965985892,0.290694247467,0.0856278853272,0.363636764877,0.256663863974
19,Special industrial machinery,0.15,0.918464068432,0.945139606677,0.900613674044,0.916510766449,0.0737252461479,0.0457817898679,0.0934734570747,0.0728635191664,0.139507789872,-0.179508275141,0.2511243064,0.161680163035,0.234846758991,0.019440535944,0.310862348472,0.215205624329
20,General industrial equipment,0.15,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0790556638997,0.0490576177571,0.100335049854,0.0765787306456,0.19752745255,-0.100746478709,0.302337517127,0.202351188204,0.286438083604,0.0849175033596,0.357990265788,0.253279865684
