,Asset Type,"Value of stock [B], $billions",Percentage distribution of stock,Share subject to corporate tax [q(c)],Share subject to individual tax [q(n)],Share subject to no tax [q(h)],Economic deprecia- tion rate [],PV (corptot) of econ dep,Ratio: PV tax to PV econ,Corporate: total [z(c)],"Corporate: debt-financed [z(c,d)]","Corporate: equity-financed [z(c,e)]",Non-corporate [z(n)],Unnamed: 13,Corporate: total [(c)],"Corporate: debt-financed [(c,d)]","Corporate: equity-financed [(c,e)]",Non-corporate [(n)],Owner-occupied housing [(h)],Overall [],Corporate: total,Corporate: debt-financed,Corporate: equity-financed,Corporate: total.1,Corporate: debt-financed.1,Corporate: equity-financed.1,Non-corporate,Owner-occupied housing,Corporate: total [ETR(c)],"Corporate: debt-financed [ETR(c,d)]","Corporate: equity-financed [ETR(c,e)]",Corporate: total [ETTR(c)],"Corporate: debt-financed [ETTR(c,d)]","Corporate: equity-financed [ETTR(c,e)]",Non-corporate [ETTR(n)],Owner-occupied housing [ETTR(h)],Overall [ETTR],Unnamed: 37,Average rate of return to savers [s]
10,Household appliances,3.89551345273,0.000120810782445,0.65740840331,0.34259159669,,0.165,0.75650595118,114.963099412,0.86970268871,0.911098710652,0.842665429049,0.866715747907,,0.0684104770612,0.0380771914715,0.089908874555,0.0656086784556,,0.0674506044033,0.00497047706122,-0.0159228085285,0.019908874555,0.0119994992439,-0.00681457586491,0.0254930216576,0.00842595196029,,0.0726566642237,-0.418171821848,0.221433920217,0.175404408204,-0.178967397583,0.283542884769,0.128427399525,,0.159749969173,,0.0566753724292
11,Residential equipment,39.066,0.00121154607327,0.070444888138,0.929555111862,,0.15,0.738523347185,117.765368505,0.869724741308,0.911114548704,0.8426911376,0.866740969384,,0.0673556638997,0.0373576177571,0.0886350498535,0.0648785509478,,0.0650530508926,0.00391566389973,-0.0166423822429,0.0186350498535,0.0109446860824,-0.0075341495793,0.0242191969562,0.00769582445256,,0.0581341445251,-0.445488316495,0.210244704373,0.16249095397,-0.201676392437,0.273246272171,0.118618932453,,0.121818885324,,0.057128360746
12,Autos,142.198278507,0.00440996687529,0.825318366097,0.174681633903,,0.3333,0.862559781371,100.820092455,0.869633569056,0.91105132345,0.842582289272,0.863934849279,,0.0802328017643,0.0461429392654,0.104185072243,0.0741728476868,,0.0791742390847,0.0167928017643,-0.00785706073458,0.0341850722428,0.023821823947,0.00125117192899,0.0397692193455,0.0169901211915,,0.209300951669,-0.170276554976,0.328118717076,0.296908788215,0.0271151328657,0.381717058782,0.22906119586,,0.285805726824,,0.0565457881374
13,Light trucks (including utility vehicles),179.41199784,0.00556406853733,0.81047974121,0.18952025879,,0.1725,0.76460054608,113.738456134,0.869644856704,0.9110591511,0.84259576532,0.864515513866,,0.0689437032446,0.0384405038604,0.0905533606438,0.0661550753927,,0.0684152017725,0.00550370324464,-0.0155594961396,0.0205533606438,0.0125327254273,-0.00645126347599,0.0261375077465,0.0089723488974,,0.079828947179,-0.404768267244,0.226975128231,0.181782016884,-0.167824633606,0.288642051059,0.135626009707,,0.17332349593,,0.0565572398265
14,"Other trucks, buses and truck trailers",131.104327213,0.00406591237451,0.751341598503,0.248658401497,,0.1725,0.76460054608,113.734103182,0.869611574008,0.911036070536,0.84255602992,0.864513434253,,0.0689477464676,0.0384430056159,0.0905585491701,0.0661552476746,,0.0682533681815,0.00550774646757,-0.0155569943841,0.0205585491701,0.0125367686502,-0.00644876172049,0.0261426962727,0.00897252117929,,0.0798829077055,-0.404676849139,0.22701941847,0.181829998695,-0.167748635081,0.288682808109,0.135628260715,,0.17069470536,,0.05660287961
15,Aircraft,247.137836665,0.007664436481,0.917132672671,0.0828673273292,,0.0859157578608,0.617993350078,134.015423599,0.828206405919,0.881296314464,0.794289754862,0.826084928636,,0.0659682874753,0.0361323294408,0.0872703293379,0.063853704998,,0.065793057677,0.00252828747529,-0.0178676705592,0.0172703293379,0.00955730965793,-0.00875943789564,0.0228544764406,0.00667097850274,,0.0383258012608,-0.494506466529,0.19789462775,0.144877334606,-0.2424266033,0.261881404757,0.104472849351,,0.141627816647,,0.0564749305677
16,Ships and boats,52.3407330278,0.00162323272338,0.897469176654,0.102530823346,,0.0611,0.534988792379,142.977611641,0.764914197889,0.834344799476,0.722078475492,0.761893499712,,0.0675649811548,0.0368189859761,0.0896191217724,0.0649946902703,,0.0673014471142,0.00412498115483,-0.0171810140239,0.0196191217724,0.0111540033375,-0.00807278136029,0.0252032688751,0.007811963775,,0.0610520580977,-0.46663463342,0.218916693049,0.16508556869,-0.219255939464,0.281226465699,0.120193876492,,0.160640546869,,0.0564901058447
17,Railroad equipment,83.072,0.00257629538213,0.89738982301,0.10261017699,,0.0589,0.52585529605,156.881762258,0.824971055372,0.878972703954,0.790518037171,0.821136549783,,0.0636643457084,0.034515281311,0.0845396596201,0.0623474432396,,0.063529218113,0.000224345708378,-0.019484718689,0.0145396596201,0.00725336789102,-0.0103764860255,0.0201238067227,0.00516471674431,,0.00352388304445,-0.564524406262,0.171986256929,0.113931397713,-0.300634548853,0.238039836133,0.082837667047,,0.110800215023,,0.0564901670858
18,Metal-working machinery,211.129937226,0.00654773067106,0.880251290162,0.119748709838,,0.1225,0.697576420209,118.26069728,0.824958738596,0.878963990027,0.790503530154,0.820547622722,,0.0696595785253,0.0386607106279,0.0917151148552,0.0665291839115,,0.069284717809,0.00621957852525,-0.0153392893721,0.0217151148552,0.0132486007079,-0.00623105670853,0.0272992619579,0.00934645741618,,0.08928533099,-0.396766875802,0.236767024601,0.19019065272,-0.161172844661,0.29765281329,0.140486578471,,0.184475371876,,0.0565033937259
19,Special industrial machinery,270.238694311,0.00838085877584,0.894642870565,0.105357129435,,0.1031,0.660017412681,127.827674559,0.843684910316,0.892222267173,0.812540800414,0.843924376249,,0.0662559748235,0.0364547062091,0.0874726393952,0.0639154141141,,0.0660093800659,0.00281597482348,-0.0175452937909,0.0174726393952,0.00984499700612,-0.00843706112727,0.0230567864979,0.0067326876188,,0.0425014473183,-0.481290226019,0.199749767654,0.148590327625,-0.231439558966,0.263588553602,0.105337463773,,0.144177888259,,0.0564922870427
20,Agricultural machinery,84.465,0.00261949621355,0.178031691613,0.821968308387,,0.1179,0.689441429641,117.378017477,0.809252681778,0.867852199486,0.772004531069,0.798991407182,,0.0706722478278,0.0392386597191,0.0930678800219,0.0675855654073,,0.0681350927001,0.0072322478278,-0.0147613402809,0.0230678800219,0.0142612700104,-0.00565310761736,0.0286520271246,0.0104028389121,,0.10233504735,-0.376193794248,0.247860808869,0.201794487211,-0.144069844838,0.307861607225,0.153921016261,,0.162761383129,,0.0570453307727
21,Farm tractors,30.193,0.0009363694924,0.231726340019,0.768273659981,,0.1452,0.732194364322,111.168547539,0.813969839982,0.871189515435,0.777560521748,0.799552707671,,0.0729725294469,0.0408685515539,0.0957756023106,0.0695435171675,,0.0703381096329,0.00953252944694,-0.0131314484461,0.0257756023106,0.0165615516296,-0.00402321578252,0.0313597494133,0.0123607906722,,0.130631753061,-0.321309367394,0.26912493045,0.226955975832,-0.0984428277868,0.327429414765,0.177741810821,,0.1895731589,,0.0570038919987
22,Construction machinery,103.933482957,0.00322326839598,0.719893234368,0.280106765632,,0.155,0.744805581717,116.76869866,0.869699785319,0.911097242465,0.842661343253,0.866323149994,,0.0677092015029,0.0375986375265,0.0890621834136,0.0651532034072,,0.0669932491433,0.00426920150289,-0.0164013624735,0.0190621834136,0.0112982236855,-0.00729312980993,0.0246463305162,0.0079704769119,,0.0630520137312,-0.436222255712,0.214032293875,0.166863933332,-0.193973247163,0.276731712289,0.12233438258,,0.154733490799,,0.0566271498434
23,Construction tractors,14.5729237801,0.000451947181225,0.761502150281,0.238497849719,,0.1633,0.754593175853,115.254373123,0.869701634461,0.91109852479,0.842663550898,0.866260355095,,0.068291327756,0.0379958318242,0.0897650888483,0.0655623441737,,0.0676404710397,0.00485132775597,-0.0160041681758,0.0197650888483,0.0118803499386,-0.00689593551218,0.025349235951,0.00837961767842,,0.0710387089457,-0.421208522287,0.22018681318,0.17396571906,-0.181491894797,0.282395263863,0.127811440912,,0.163296213825,,0.0565950382176
24,Mining and oilfield machinery,27.285,0.000846184267881,0.915343339939,0.0846566600608,,0.15,0.738523347185,111.705480743,0.824971055372,0.878972703954,0.790518037171,0.821136549783,,0.0722501886306,0.0404521356716,0.0948155555967,0.0682828060009,,0.071914323268,0.00881018863061,-0.0135478643284,0.0248155555967,0.0158392108132,-0.00443963166481,0.0303997026994,0.0111000795056,,0.121940008706,-0.334910978208,0.261724518098,0.219227258966,-0.10975024164,0.32061935943,0.162560389002,,0.21467228062,,0.0564763114828
25,Service industry machinery,90.9778768856,0.00282147876657,0.734040019548,0.265959980452,,0.152834865011,0.742122651362,111.223467242,0.825414544036,0.879291306662,0.7910349458,0.821624593871,,0.0724681848411,0.0406057192724,0.0950732998087,0.0684305683854,,0.0713943404475,0.00902818484109,-0.0133942807276,0.0250732998087,0.0160572070237,-0.00428604806404,0.0306574469114,0.0112478418901,,0.124581357473,-0.32986192506,0.263725986782,0.221575951694,-0.10555281721,0.322461163892,0.164368675513,,0.206992715027,,0.0566162320807
26,Fabricated metal products,101.242069205,0.00313980011762,0.853637761671,0.146362238329,,0.0917,0.633252306502,130.318353369,0.825243978506,0.87916950436,0.790835319743,0.819382803499,,0.0667343453633,0.0366400402363,0.0882118078141,0.064578104361,,0.0664187531038,0.00329434536332,-0.0173599597637,0.0182118078141,0.010323367546,-0.00825172710008,0.0237959549168,0.0073953778657,,0.049365066,-0.473797508182,0.206455442479,0.154693471402,-0.225210645154,0.269759293075,0.114518348578,,0.148976305037,,0.0565239326813
27,General industrial equipment,377.543734608,0.0117086886078,0.868595544286,0.131404455714,,0.1072,0.668712727999,123.362608819,0.824941466765,0.878951770475,0.790483186945,0.819864334332,,0.0682189987247,0.0376644549621,0.0899911273011,0.0655694267044,,0.0678708331555,0.00477899872471,-0.0163355450379,0.0199911273011,0.0118080209074,-0.00722731237429,0.0255752744037,0.00838670020912,,0.0700537799447,-0.433712503056,0.222145537017,0.173089918177,-0.191886816935,0.284197733385,0.127905651012,,0.167353833673,,0.0565123890323
28,Steam engines,62.0209154418,0.0019234422916,0.973533950944,0.0264660490564,,0.0516,0.492799022042,130.796856141,0.644565627927,0.740889368144,0.58878579337,0.642269672834,,0.0731478273552,0.0400174972006,0.0969250409757,0.0688126977882,,0.0730330936034,0.00970782735515,-0.0139825027994,0.0269250409757,0.0167368495378,-0.00487427013577,0.0325091880783,0.0116299712929,,0.132715183843,-0.349409727681,0.277792412617,0.228808566747,-0.121803472899,0.335405461283,0.169009087955,,0.227317368449,,0.0564314029557
29,Internal combustion engines,8.75641336328,0.000271560902733,0.775443875757,0.224556124243,,0.2063,0.795272312342,103.685137244,0.824579188513,0.878695464255,0.790056486269,0.812334321406,,0.0776109948511,0.0441562211135,0.101234749993,0.0727884503241,,0.0765280629431,0.0141709948511,-0.00984377888652,0.0312347499928,0.0212000170337,-0.000735546222945,0.0368188970955,0.0156057238288,,0.182590042535,-0.222930736333,0.308537829105,0.273157393155,-0.016657816371,0.363698207365,0.214398352476,,0.260607461717,,0.0565842787094
30,Electric transmission and distribution,282.576201934,0.00876347944125,0.936653887693,0.0633461123071,,0.05,0.484928424565,124.514391857,0.60380567879,0.706784933844,0.545774264588,0.631534858743,,0.0751045868076,0.0412413408071,0.0993499705959,0.0690145131174,,0.0747188043157,0.0116645868076,-0.0127586591929,0.0293499705959,0.0186936089903,-0.00365042652936,0.0349341176985,0.0118317866221,,0.155311244006,-0.309365770929,0.295420022974,0.248901029682,-0.0885137693859,0.351626854935,0.171439108786,,0.244368728691,,0.0564598650958
31,Other electrical equipment,15.7096480486,0.000487200184448,0.83034529825,0.16965470175,,0.1834,0.775449456255,106.730889451,0.827644101901,0.880892657567,0.793634020315,0.827354194881,,0.0750576031717,0.0424093881884,0.0981578442127,0.0699191120557,,0.074185833994,0.0116176031717,-0.0115906118116,0.0281578442127,0.0186466253544,-0.00248237914801,0.0337419913153,0.0127363855604,,0.154782496121,-0.273302971505,0.286862903709,0.248430865981,-0.0585337175105,0.343752367281,0.182158857371,,0.237834158288,,0.0565419086091
32,Other nonresidential equipment,176.575189072,0.00547609115231,0.681180318739,0.318819681261,,0.1473,0.735000598778,112.3595007,0.825843002933,0.879602736793,0.791530260638,0.817547518409,,0.0719016298675,0.0402164389504,0.0943925631187,0.0683712775062,,0.0707760840529,0.00846162986753,-0.0137835610496,0.0243925631187,0.0154906520502,-0.00467532838606,0.0299767102214,0.0111885510109,,0.117683422241,-0.342734498861,0.258416153908,0.215442293571,-0.116254161435,0.31757491513,0.163644024494,,0.199489103657,,0.0566570264849
33,Structures,18887.0706368,0.585740958008,0.262532884875,0.200045870975,0.53742124415,,,,,,,,,0.0762876810397,0.0416176031553,0.100946234608,0.0707501514713,0.0521266964676,0.0621952947255,0.0128476810397,-0.0123823968447,0.0309462346079,0.0198767032223,-0.00327416418113,0.0365303817106,0.013567424976,,0.168410952654,-0.297527870562,0.306561554555,0.260549317418,-0.0786725792187,0.361879587213,0.191765313485,-0.050933037299,0.104598873739,,0.0556897369453
34,Owner-occupied residential structures,10150.313,0.314789634402,0.0,0.0,1.0,0.0143926996635,0.213222970062,,,,,,,,,,,0.0521266964676,0.0521266964676,,,,,,,,-0.00265497097545,,,,,,,,-0.050933037299,-0.050933037299,,0.054781667443
35,Tenant-occupied residential structures,2606.172,0.0808246929006,0.0212947114229,0.978705288577,,,,,,,,,,0.0740777423594,0.0394284278298,0.0989791765183,0.0697620139153,,0.0698539161071,0.0107484891672,-0.0144851960399,0.0291022713296,0.0177775113498,-0.00537696337637,0.0346864184322,0.0125776354948,,0.143602410395,-0.369570205365,0.292780537661,0.238489510875,-0.13856346315,0.349197930683,0.180317148459,,0.181630815912,,0.0571662923299
36,  corporate owned residential structures,113.441,0.00351812312746,0.48922065795,0.51077934205,,0.016313760457,0.234994911532,186.823591645,0.439025933907,0.562472544369,0.376478670471,0.43150125531,,0.0740777423594,0.0394284278298,0.0989791765183,0.0696844394829,,0.0718337340067,0.0106377423594,-0.0145715721702,0.0289791765183,0.0176667645421,-0.00546333950667,0.0345633236209,0.0125017129876,,0.143602410395,-0.369570205365,0.292780537661,0.238489510875,-0.13856346315,0.349197930683,0.179404657344,,0.209213165865,,0.0568051710993
37,  ptshp & sole prop residential structures,2492.731,0.0773065697731,0.0,1.0,,0.0166970803909,0.239195776259,183.542510981,0.439025933907,0.562472544369,0.376478670471,0.43150125531,,0.0741935291128,0.0395187348273,0.099107873217,0.0697638171263,,0.0697638171263,0.0107535291128,-0.0144812651727,0.029107873217,0.0177825512954,-0.00537303250914,0.0346920203197,0.0125810906311,,0.144938908303,-0.366440505649,0.293698898707,0.239677927551,-0.135961652938,0.350043030827,0.180338335104,,0.180338335104,,0.0571827264953
38,"Office, including medical buildings",989.671953366,0.0306924990765,0.759411457909,0.240588542091,,0.0247,0.317448077319,106.496060911,0.338069697781,0.459574071978,0.281957391719,0.331125937585,,0.0808406392835,0.0443684238495,0.106614649618,0.0743325574703,,0.0792748693682,0.0174006392835,-0.00963157615045,0.0366146496177,0.0244296614661,-0.000523343486876,0.0421987967203,0.017149830975,,0.215246186048,-0.217081773811,0.343429817093,0.302195302791,-0.0117954040615,0.395806738302,0.230717623053,,0.286070703646,,0.0565966517066
39,Commercial buildings,1219.66017209,0.0378250778738,0.768866122763,0.231133877237,,0.0261493531056,0.329929679467,104.587740763,0.345065997862,0.466010974412,0.288949452556,0.336101971498,,0.0810586421752,0.0445997277424,0.10681302701,0.0745387177558,,0.0795516667649,0.0176186421752,-0.00940027225764,0.0368130270103,0.0246476643579,-0.000292039594062,0.042397174113,0.0173559912605,,0.217356739546,-0.210769722899,0.344649225293,0.30407201128,-0.00654801293292,0.396928870005,0.232845315603,,0.288646518887,,0.0565893550815
40,Hospitals and special care,138.568028795,0.00429738266437,0.590945412736,0.409054587264,,0.0188,0.261445179952,129.308062915,0.338069697781,0.459574071978,0.281957391719,0.331125937585,,0.0787377376311,0.0426515322474,0.104333483485,0.0728950713713,,0.0763477681957,0.0152977376311,-0.0113484677526,0.0343334834852,0.0223267598137,-0.00224023508898,0.0399176305879,0.015712344876,,0.194287238766,-0.266074092877,0.329074447994,0.28355856398,-0.0525241408909,0.382596547671,0.215547424269,,0.256996419215,,0.0567266651543
41,Manufacturing buildings,954.345961413,0.0295969411275,0.861175910569,0.138824089431,,0.0314,0.371562455626,90.9859682168,0.338069697781,0.459574071978,0.281957391719,0.331125937585,,0.083228680143,0.0463181143129,0.109205126412,0.0759649569385,,0.0822203003833,0.019788680143,-0.00768188568705,0.0392051264122,0.0268177023257,0.00142634697653,0.0447892735148,0.0187822304433,,0.237762753284,-0.165850570581,0.359004450617,0.322217080453,0.0307945821561,0.41013892833,0.24724861568,,0.312601451693,,0.0565181151248
42,Educational buildings,44.4170300711,0.00137749650255,0.57381467438,0.42618532562,,0.0188,0.261445179952,129.308062915,0.338069697781,0.459574071978,0.281957391719,0.331125937585,,0.0787377376311,0.0426515322474,0.104333483485,0.0728950713713,,0.0762476790087,0.0152977376311,-0.0113484677526,0.0343334834852,0.0223267598137,-0.00224023508898,0.0399176305879,0.015712344876,,0.194287238766,-0.266074092877,0.329074447994,0.28355856398,-0.0525241408909,0.382596547671,0.215547424269,,0.255847699016,,0.056739885779
43,Other buildings,486.902751324,0.015100218001,0.607196360625,0.392803639375,,0.0259210673426,0.327994093999,103.071885734,0.338069697781,0.459574071978,0.281957391719,0.331125937585,,0.0812758570009,0.0447237527082,0.107086761053,0.0746300604077,,0.0786653639125,0.0178358570009,-0.00927624729178,0.0370867610528,0.0248648791835,-0.000168014628207,0.0426709081555,0.0174473339124,,0.219448402749,-0.207412096035,0.346324425991,0.30593192248,-0.00375672026681,0.398470434029,0.233784266247,,0.279045812719,,0.0567141235067
44,Petroleum and natural gas,388.676,0.012053931336,0.922492342985,0.0775076570152,,0.0751,0.585766878822,148.476257834,0.869724741308,0.911114548704,0.8426911376,0.866740969384,,0.062101562505,0.0337727991329,0.0822906624261,0.0612428700857,,0.0620350072674,-0.00133843749504,-0.0202272008671,0.0122906624261,0.0056905846876,-0.0111189682035,0.0178748095288,0.00406014359038,,-0.0215523964463,-0.598919881869,0.149356707842,0.0916335186759,-0.329228506046,0.217215526061,0.0662957758952,,0.0896947266285,,0.0564707942492
45,Mining structures,38.428,0.0011917599064,0.922567670589,0.0774323294112,,0.045,0.458678191381,179.858356223,0.824971055372,0.878972703954,0.790518037171,0.821136549783,,0.0623543213767,0.033609438549,0.0829717676983,0.0614418280653,,0.062283664894,-0.00108567862333,-0.020390561451,0.0129717676983,0.00594334355931,-0.0112823287874,0.0185559148009,0.00425910156997,,-0.0174114415708,-0.606691522717,0.156339536425,0.0953156642248,-0.335689296652,0.223641309758,0.0693192521136,,0.0933299090327,,0.0564707361152
46,Electric power structures,611.209803322,0.0189553278338,0.99517634458,0.00482365541972,,0.0211,0.284335920655,208.957470349,0.594141147095,0.698615911327,0.535648785742,0.587331976684,,0.0693253704842,0.0368979586287,0.0927782130256,0.0663598669515,,0.069311065917,0.0058853704842,-0.0171020413713,0.0227782130256,0.0129143926668,-0.0079938087077,0.0283623601282,0.00917714045623,,0.0848949012907,-0.463495597233,0.245512521558,0.186286673647,-0.216646367571,0.305700651083,0.138293533092,,0.186065028424,,0.0564147004671
47,Other power structures,257.765,0.00799401457982,0.929873197464,0.0701268025365,,0.0237,0.308561608166,194.704454497,0.600783195968,0.704230156126,0.542607625288,0.628199162279,,0.0696188699991,0.0371611859711,0.0930772045056,0.065580177815,,0.0693356494298,0.00617886999913,-0.0168388140289,0.0230772045056,0.0132078921818,-0.00773058136536,0.0286613516083,0.0083974513197,,0.088752805083,-0.453129080489,0.247936158249,0.189717129593,-0.208028381316,0.307930945719,0.12804862078,,0.18562675119,,0.0564650980845
48,Communication structures,327.98417051,0.0101717077222,0.992522745095,0.0074772549053,,0.0237,0.308561608166,207.480317294,0.640204603668,0.73755141548,0.583909226066,0.633721327237,,0.0679884733546,0.0362192196009,0.0909933798941,0.0654220125863,,0.0679692832733,0.00454847335462,-0.0177807803991,0.0209933798941,0.0115774955373,-0.00867254773556,0.0265775269968,0.00823928609105,,0.0669006543344,-0.490921135107,0.230713266378,0.170286152432,-0.239446013226,0.29208198473,0.125940578184,,0.169966995942,,0.0564167483789
49,Railroads,269.086,0.00834511049687,0.95785503737,0.0421449626303,,0.02125,0.285779606767,197.156187042,0.563432176046,0.672658908559,0.503475158859,0.556405742981,,0.0705877055211,0.0376218424143,0.0943965570983,0.0672406007663,,0.0704466419163,0.00714770552114,-0.0163781575857,0.0243965570983,0.0141767277038,-0.00726992492209,0.029980704201,0.010057874271,,0.101259921517,-0.435336403924,0.258447530803,0.20083848312,-0.193236812861,0.317603788979,0.149580374898,,0.198776526444,,0.0564435031366
50,Farm structures,231.303679248,0.00717337491232,0.117147424424,0.882852575576,,0.0239,0.310357365469,181.543033527,0.563432176046,0.672658908559,0.503475158859,0.556405742981,,0.0712106542238,0.0380889329717,0.0951050598524,0.0676687932854,,0.068083713172,0.00777065422378,-0.0159110670283,0.0251050598524,0.0147996764064,-0.00680283436468,0.0306892069551,0.0104860667901,,0.109122073213,-0.417734648541,0.263971863236,0.207829524497,-0.178603962724,0.322687425913,0.154961634175,,0.161439418248,,0.0570923181254
