,Asset Type,"Value of stock [B], $billions",Percentage distribution of stock,Share subject to corporate tax [q(c)],Share subject to individual tax [q(n)],Share subject to no tax [q(h)],Economic deprecia- tion rate [],PV (corptot) of econ dep,Ratio: PV tax to PV econ,Corporate: total [z(c)],"Corporate: debt-financed [z(c,d)]","Corporate: equity-financed [z(c,e)]",Non-corporate [z(n)],Unnamed: 13,Corporate: total [(c)],"Corporate: debt-financed [(c,d)]","Corporate: equity-financed [(c,e)]",Non-corporate [(n)],Owner-occupied housing [(h)],Overall [],Corporate: total,Corporate: debt-financed,Corporate: equity-financed,Corporate: total.1,Corporate: debt-financed.1,Corporate: equity-financed.1,Non-corporate,Owner-occupied housing,Corporate: total [ETR(c)],"Corporate: debt-financed [ETR(c,d)]","Corporate: equity-financed [ETR(c,e)]",Corporate: total [ETTR(c)],"Corporate: debt-financed [ETTR(c,d)]","Corporate: equity-financed [ETTR(c,e)]",Non-corporate [ETTR(n)],Owner-occupied housing [ETTR(h)],Overall [ETTR],Unnamed: 37,Average rate of return to savers [s]
0,Equipment,4186.80420605,0.129844524532,0.825391939491,0.174608060509,0.0,,,,,,,,,0.0712124457271,0.0396927633405,0.0936034782454,0.0676379891031,,0.0705883167886,0.00777244572706,-0.0143072366595,0.0236034782454,0.0148014679097,-0.00519900399589,0.0291876253481,0.0104552626078,,0.109144485177,-0.360449498986,0.252164542257,0.20784945326,-0.130981155212,0.311822016609,0.154576780689,,0.198936397271,,0.0565457313572
1,Computers and peripheral equipment,156.510422551,0.00485382654653,0.844774973601,0.155225026399,,0.463273495595,0.897153557103,96.9420476482,0.869719028804,0.911110587251,0.84268431758,0.866538446008,,0.0893328291752,0.05235237449,0.115172768241,0.0801232204243,,0.0879032674137,0.0258928291752,-0.00164762551004,0.0451727682409,0.0329218513578,0.00746060715354,0.0507569153436,0.0229404939291,,0.289846738475,-0.0314718391686,0.392217439338,0.368530266665,0.142507521888,0.440702399698,0.286315175645,,0.356897938046,,0.0565307725263
2,Software,327.791341304,0.0101657275484,0.849057592897,0.150942407103,,0.44,0.892299455697,100.922923102,0.900534693509,0.932973207664,0.878888107361,0.898163783322,,0.0795179975749,0.0457196247486,0.103259188979,0.0732903225715,,0.0785779773192,0.0160779975749,-0.00828037525145,0.0332591889786,0.0231070197575,0.00082785741213,0.0388433360812,0.0161075960762,,0.202193189784,-0.181112056299,0.322094230136,0.290588551802,0.0181072661178,0.376173166432,0.219777939448,,0.28061946427,,0.0565274674205
3,Communications equipment,476.471722726,0.0147767225897,0.903035533462,0.0969644665382,,0.112941034973,0.680166765144,121.493128601,0.826355882677,0.87996730955,0.792132411513,0.827611122707,,0.0686336974439,0.0379611464942,0.0904763524943,0.0654724234746,,0.0683271661999,0.00519369744395,-0.0160388535058,0.0204763524943,0.0122227196266,-0.00693062084223,0.026060499597,0.00828969697928,,0.0756727036043,-0.422507089143,0.226317174928,0.178086276593,-0.182571431115,0.288036585014,0.126613565519,,0.173303780067,,0.0564858100162
4,Medical equipment and instruments,111.365640557,0.00345376041861,0.720621555647,0.279378444353,,0.135,0.717672826249,114.950727732,0.824970136511,0.878972053874,0.790516954912,0.821121133026,,0.0708365863791,0.0394746648483,0.0931237053617,0.067306590026,,0.0698503814894,0.00739658637911,-0.0145253351517,0.0231237053617,0.0144256085617,-0.00541710248811,0.0287078524643,0.0101238635307,,0.104417600525,-0.367966015861,0.248311697562,0.203646297756,-0.137229853855,0.308276526936,0.150414150037,,0.189315984322,,0.0566265877624
5,Nonmedical instruments,111.363422847,0.00345369164121,0.855000954264,0.144999045736,,0.135,0.717672826249,115.428969902,0.828402350608,0.881437807377,0.794517321993,0.829014528109,,0.0704889411095,0.0392571853894,0.09268212638,0.0667604962698,,0.0699483201656,0.00704894110947,-0.0147428146106,0.02268212638,0.0140779632921,-0.00563458194704,0.0282662734827,0.00957776977453,,0.10000066675,-0.375544361227,0.244730319274,0.199718751204,-0.143529952317,0.304980847837,0.143464628181,,0.191933694685,,0.0565228806392
6,Photocopy and related equipment,37.3306790706,0.00115772891108,0.823495588368,0.176504411632,,0.18,0.772174271153,112.62894147,0.869691707904,0.91109091429,0.842652525558,0.866548608514,,0.069464256729,0.038796116898,0.0911813907903,0.0663512262265,,0.0689147931118,0.00602425672898,-0.015203883102,0.0211813907903,0.0130532789116,-0.00609565043846,0.0267655378929,0.00916849973123,,0.086724554651,-0.391891877788,0.232299492327,0.187913605159,-0.157120117317,0.293541671836,0.138181315594,,0.179462169001,,0.0565471948637
7,Office and accounting equipment,12.0418285902,0.000373450830477,0.873140333682,0.126859666318,,0.3119,0.854501819138,101.768979707,0.869617782915,0.911037786605,0.842566385006,0.86621189634,,0.0787336820043,0.0451204602096,0.102374406382,0.0728079473645,,0.0779819452852,0.0152936820043,-0.00887953979036,0.0323744063819,0.0223227041869,0.00022869287322,0.0379585534845,0.0156252208692,,0.194245735941,-0.196796303697,0.316235351452,0.283521659583,0.00506849602503,0.370781671182,0.214608726586,,0.275359425949,,0.0565088815971
8,Household furniture,12.198,0.000378294143288,0.76803887753,0.23196112247,,0.1375,0.721375807941,120.564722539,0.869724741308,0.911114548704,0.8426911376,0.866740969384,,0.066478811197,0.0367593502965,0.0875762402028,0.0642717951297,,0.0659668692727,0.003038811197,-0.0172406497035,0.0175762402028,0.0100678333796,-0.00813241703995,0.0231603873054,0.00708906863444,,0.0457109738018,-0.469013994112,0.200696446457,0.151444245142,-0.221233971067,0.264459712495,0.110298282787,,0.142145229403,,0.056589993507
9,Other furniture,206.284374872,0.00639745621133,0.810750216376,0.189249783624,,0.1179,0.689441429641,119.656801049,0.824963559813,0.878967400963,0.790509208708,0.820927675805,,0.0692255708418,0.0383606443039,0.0911956336759,0.0662045709473,,0.0686538472655,0.00578557084184,-0.0156393556961,0.0211956336759,0.0128145930245,-0.00653112303249,0.0267797807786,0.009021844452,,0.0835756321181,-0.407692727269,0.232419391385,0.185113576799,-0.170255822106,0.293652006123,0.136272228985,,0.176200120745,,0.0565570310877
