NAICS,Econ_All,Econ_Corp,Econ_Non_Corp,Tax_All,Tax_Corp,Tax_Non_Corp
11,0.0776262223097,0.0769915711206,0.0779258963479,0.239401877835,0.237682788062,0.240213609671
211,0.0726769403543,0.0726769403543,0.0726769403543,0.319543639192,0.319543639192,0.319543639192
212,0.070464399923,0.070464399923,0.070464399923,0.302174330603,0.302174330603,0.302174330603
213,0.102437484048,0.102437484048,0.102437484048,0.317449546783,0.317449546783,0.317449546783
22,0.0353256049496,0.0353256049496,0.0353256049496,0.19225178531,0.19225178531,0.19225178531
23,0.120484849699,0.120484849699,0.120484849699,0.346921696571,0.346921696571,0.346921696571
31-33,0.107877787502,0.107930388529,0.10684375515,0.314787027481,0.31491583687,0.313502534495
32411,0.1020728945,0.1020728945,0.1020728945,0.36363243921,0.36363243921,0.36363243921
336,0.131742572262,0.131742572262,0.131742572262,0.287032389998,0.287032389998,0.287032389998
3391,0.0893738781057,0.0893738781057,0.0893738781057,0.256238452076,0.256238452076,0.256238452076
42,0.113471869352,0.113471869352,0.113471869352,0.293684549469,0.293684549469,0.293684549469
44-45,0.0597972187535,0.0597972187535,0.0597972187535,0.165153313627,0.165153313627,0.165153313627
48-49,0.0611385778783,0.065485993376,0.0557057213823,0.296811401726,0.304627341044,0.284760756505
51,0.0831693581681,0.0832464102135,0.0828517127901,0.34111416264,0.348518569097,0.300851326526
52,0.107740217898,0.113356122182,0.0744835265328,0.251213828158,0.265970672271,0.16382562042
531,0.0330081830671,0.0330081830671,0.0330081830671,0.0998982819109,0.0998982819109,0.0998982819109
532,0.147503602455,0.147503602455,0.147503602455,0.437036327487,0.437036327487,0.437036327487
533,0.147503602455,0.147503602455,0.147503602455,0.437036327487,0.437036327487,0.437036327487
54,0.150635839679,0.154882607863,0.147579843076,0.352320444399,0.351661866591,0.352629791627
55,0.0932027316573,0.0932027316573,0.0932027316573,0.228634322118,0.228634322118,0.228634322118
56,0.118493783815,0.108180828614,0.127366452668,0.314795692324,0.293179332358,0.333393155423
61,0.0400851377283,0.0400851377283,0.0400851377283,0.100149154391,0.100149154391,0.100149154391
62,0.0600982972623,0.0645348754722,0.0583380251335,0.164498738901,0.175694444939,0.160056691818
71,0.0553835433501,0.0548944297301,0.0556301865911,0.250790232966,0.263705194658,0.244277660266
72,0.0524822420541,0.0545025651319,0.0512322027955,0.182213543872,0.198487336915,0.172144421555
81,0.0427972695111,0.0427972695111,0.0427972695111,0.132681089335,0.132681089335,0.132681089335
92,,,,,,
