,ADS Life,Asset,Asset Type,GDS Class Life,GDS Life,Method,System,asset_category,assets_c,assets_nc,b,bea_asset_code,bonus,delta,eatr_c,eatr_c_d,eatr_c_e,eatr_nc,eatr_nc_d,eatr_nc_e,major_asset_group,metr_c,metr_c_d,metr_c_e,metr_nc,metr_nc_d,metr_nc_e,mettr_c,mettr_c_d,mettr_c_e,mettr_nc,mettr_nc_d,mettr_nc_e,rho_c,rho_c_d,rho_c_e,rho_nc,rho_nc_d,rho_nc_e,tax_wedge_c,tax_wedge_c_d,tax_wedge_c_e,tax_wedge_nc,tax_wedge_nc_d,tax_wedge_nc_e,ucc_c,ucc_c_d,ucc_c_e,ucc_nc,ucc_nc_d,ucc_nc_e,z_c,z_c_d,z_c_e,z_nc,z_nc_d,z_nc_e
0,10.0,Aerospace products and parts manufacturing,Aerospace products and parts manufacturing,7.0,7.0,Expensing,GDS,Intellectual Property,33211530576.08377,4929469423.916241,1.0,RD32,0.5,0.22,0.23158799999999985,0.19564999999999985,0.24850000000000005,0.1977756759356662,0.22558777762092994,0.18641580341633288,Intellectual Property,-0.1659114674102483,-1.178217821782182,3.5890830537451167e-16,0.012033381267900923,0.0677057020247678,-4.0821553797172287e-16,0.03332986664433451,-0.5002900643841758,0.12078725087781113,0.012033381267900923,0.06770570202476793,-2.721436919811486e-16,0.04590399999999997,0.020199999999999968,0.058000000000000024,0.0440317796774681,0.02698551265040114,0.05099433944908696,0.0015299741984415305,-0.010105859300560335,0.007005660550913048,0.0005298511927631852,0.001827073078493665,-1.3877787807814457e-17,0.265904,0.24019999999999997,0.278,0.2640317796774681,0.24698551265040114,0.27099433944908696,1.0,1.0,1.0,1.0,1.0,1.0
1,40.0,Air transportation,Air transportation,39.0,39.0,SL,GDS,Nonresidential Buildings,26676130901.78949,6522869098.210503,1.0,SB43,0.0,0.0237,0.31249197199364365,0.2364382521037134,0.3495252743954287,0.25342249011659035,0.2619513363509613,0.2502630742301155,Structures,0.24404142181542476,-0.3435019569906205,0.3489342151782234,0.2611155812853419,0.3142076937104925,0.2503601272032761,0.37322635550688016,0.0746367891230645,0.42757466146745005,0.2611155812853419,0.3142076937104926,0.25036012720327616,0.07079752984419807,0.032750231416527206,0.08908469981397805,0.05887514661681405,0.036685216998172086,0.06802511619191161,0.02642350404263963,0.002444372115966903,0.03809036036489108,0.01537321813210913,0.011526777426264612,0.017030776742824633,0.09449752984419807,0.056450231416527205,0.11278469981397805,0.08257514661681405,0.060385216998172085,0.09172511619191161,0.33580194903705246,0.4690757942894444,0.2934060192661048,0.3432987259553685,0.42654073245948454,0.3167577928036475
2,6.0,Aircraft,Aircraft,5.0,5.0,DB 200%,GDS,Transportation Equipment,265994401126.7079,86223598873.29208,2.0,ET30,0.5,0.0859,0.2463841590046084,0.20347390455208175,0.26711769759156856,0.20795178048664545,0.2323829821317353,0.19811450715084247,Equipment,-0.0607122118125558,-0.9462692349313612,0.08988945806206414,0.06940139784702137,0.12638489236696374,0.057665114571625944,0.12055173664053681,-0.34053094533724937,0.19981920841766196,0.06940139784702137,0.12638489236696387,0.057665114571626076,0.05045666430911028,0.022607355246794386,0.06372852233586726,0.04674617862530783,0.028798082075379275,0.054114880216819705,0.006082638507551835,-0.007698504053765917,0.012734182886780285,0.0032442501406029153,0.003639642503471801,0.0031205407677327296,0.13635666430911028,0.10850735524679439,0.14962852233586726,0.13264617862530784,0.11469808207537928,0.1400148802168197,0.9358521137246717,0.957862369451559,0.9260689066154328,0.937398287537728,0.9518845709851909,0.9316918863424698
3,,All Investments,All Investments,,,,,,20161607101926.688,16787450898073.32,,,,0.06160866190012606,0.28331808560569216,0.22151822202913118,0.3129731387792109,0.24609827203283435,0.25607082331459424,0.2421365740424078,All Investments,0.1342740526536644,-0.5625303554791694,0.2548615994976509,0.23575531492492371,0.28357486835774937,0.2256859009589166,0.2822170118717317,-0.07622329786377675,0.34486481841781885,0.23575531492492371,0.2835748683577494,0.2256859009589167,0.061820949417136055,0.028159452932040387,0.07783788885514183,0.056921466821102544,0.03511663460805341,0.06585743371099502,0.017446923615577613,-0.002146406368519916,0.02684354940605485,0.013419538336397627,0.009958195036145933,0.014863094261908044,0.12342961131726211,0.08976811483216644,0.13944655075526788,0.08299529477460407,0.06119046256155492,0.09193126166449656,0.54095304734122,0.5882793827030132,0.5243413137299326,0.2424758905499059,0.26539685086007636,0.23487082307896145
4,6.0,"All other nonmanufacturing, n.e.c.","All other nonmanufacturing, n.e.c.",5.0,5.0,Expensing,GDS,Intellectual Property,86239268420.53496,33402731579.465027,1.0,RD80,0.5,0.16,0.231588,0.19564999999999994,0.2484999999999999,0.1977756759356662,0.22558777762092994,0.186415803416333,Intellectual Property,-0.16591146741024757,-1.1782178217821788,-5.9818050895752e-16,0.012033381267900923,0.0677057020247678,1.3607184599057421e-16,0.0333298666443351,-0.5002900643841738,0.12078725087781028,0.012033381267900923,0.06770570202476793,2.7214369198114843e-16,0.045904,0.020199999999999996,0.05799999999999997,0.0440317796774681,0.02698551265040114,0.05099433944908699,0.0015299741984415582,-0.010105859300560308,0.007005660550912993,0.0005298511927631852,0.001827073078493665,1.3877787807814457e-17,0.205904,0.1802,0.21799999999999997,0.2040317796774681,0.18698551265040114,0.210994339449087,1.0,1.0,1.0,1.0,1.0,1.0
5,10.0,Amusement and recreation,Amusement and recreation,7.0,7.0,DB 200%,GDS,Other Structures,163173271952.40323,164426728047.5968,2.0,SB42,0.5,0.03,0.24304347932487352,0.20069782013318935,0.2637087631597925,0.2055784651206214,0.23024749722348872,0.19569595851493146,Structures,-0.08277037282189695,-1.0226931994593154,0.07465934662743266,0.05662567424642675,0.10875613863073227,0.04629554421602328,0.1022630706135668,-0.39316944343214,0.18642870027378233,0.05662567424642675,0.1087561386307324,0.04629554421602341,0.04942876286919186,0.02175317542559673,0.06267961943378232,0.04611311469596685,0.02822845762242352,0.053469750654743395,0.005054737067633416,-0.008552683874963572,0.011685279984695346,0.002611186211261933,0.003070018050516047,0.0024754112056564193,0.07942876286919186,0.05175317542559673,0.09267961943378232,0.07611311469596685,0.05822845762242352,0.0834697506547434,0.9137596413147916,0.9425404651885104,0.9012417976636847,0.9157535278283842,0.9346395002100526,0.9084157893019689
6,5.0,Autos,Autos,5.0,5.0,DB 200%,GDS,Transportation Equipment,136239832218.22221,47539167781.77765,2.0,ET20,0.5,0.3333,0.2741569863675116,0.22171739169802918,0.2991261644724169,0.2273278582419234,0.2472753589877415,0.21925679335175619,Equipment,0.0929144053889359,-0.5591372296195901,0.21171319576890812,0.16204829161575435,0.23228418467093084,0.14660145630682456,0.24792526944145488,-0.0738862161617426,0.3069281917552368,0.16204829161575435,0.23228418467093095,0.14660145630682467,0.059002149651542046,0.028220735907085903,0.07357728137612829,0.05191460086475169,0.032770511001031954,0.05975442520490298,0.014628123849983604,-0.0020851233934744,0.022582941927041314,0.008412672380046775,0.0076120714291244805,0.008760085755816008,0.39230214965154203,0.3615207359070859,0.4068772813761283,0.3852146008647517,0.36607051100103194,0.39305442520490297,0.9358521137246717,0.957862369451559,0.9260689066154328,0.937398287537728,0.9518845709851909,0.9316918863424698
7,15.0,Books,Books,15.0,15.0,Economic,GDS,Intellectual Property,67646468506.0987,14215531493.901308,1.0,AE30,0.5,0.121,0.27175399999999994,0.21332500000000004,0.29924999999999996,0.22531899057914417,0.24246809613610246,0.21831442633756964,Intellectual Property,0.08140308628283521,-0.7161716171617153,0.21212121212121202,0.1533089463497858,0.20102033155962093,0.1429962940075752,0.23838110705311247,-0.18204671739359046,0.3072869249340327,0.1533089463497858,0.20102033155962104,0.1429962940075753,0.05826276923076923,0.025638461538461554,0.07361538461538461,0.051378750604676254,0.031488209982886234,0.059503055929069376,0.013888743429210787,-0.004667397762098749,0.022621045166297635,0.007876822119971337,0.00632977041097876,0.0085087164799824,0.17926276923076923,0.14663846153846155,0.1946153846153846,0.17237875060467625,0.15248820998288623,0.18050305592906937,0.8624838230359968,0.928470254957507,0.8379888268156424,0.8665960587605546,0.908823802522645,0.8517557623918719
8,9.5,"Chemical manufacturing, ex. pharma and med","Chemical manufacturing, ex. pharma and med",5.0,5.0,Expensing,GDS,Intellectual Property,54399224281.0093,9431775718.990715,1.0,RD12,0.5,0.16,0.231588,0.19564999999999994,0.2484999999999999,0.1977756759356662,0.22558777762092994,0.186415803416333,Intellectual Property,-0.16591146741024757,-1.1782178217821788,-5.9818050895752e-16,0.012033381267900923,0.0677057020247678,1.3607184599057421e-16,0.0333298666443351,-0.5002900643841738,0.12078725087781028,0.012033381267900923,0.06770570202476793,2.7214369198114843e-16,0.045904,0.020199999999999996,0.05799999999999997,0.0440317796774681,0.02698551265040114,0.05099433944908699,0.0015299741984415582,-0.010105859300560308,0.007005660550912993,0.0005298511927631852,0.001827073078493665,1.3877787807814457e-17,0.205904,0.1802,0.21799999999999997,0.2040317796774681,0.18698551265040114,0.210994339449087,1.0,1.0,1.0,1.0,1.0,1.0
9,6.0,Communication,Communication,15.0,15.0,DB 150%,GDS,Mining and Drilling Structures,578746934520.2732,54922065479.7266,1.5,SU20,0.5,0.0237,0.2532365270808377,0.20528025855729537,0.2768829613933589,0.21254600191755257,0.2344897900112627,0.2038667282991077,Structures,-0.018166331124805663,-0.8995683960246169,0.13086764036701332,0.09317427567736865,0.14310658711250449,0.08364718230093786,0.15582699836303776,-0.3083648304934784,0.23584774873602657,0.09317427567736865,0.1431065871125046,0.08364718230093798,0.052565085255642366,0.023163156479167807,0.06673321889026429,0.04797165245527128,0.029360057147750085,0.05564924171579723,0.008191059454083924,-0.0071427028213924965,0.015738879441177314,0.004469723970566365,0.004201617575842611,0.0046549022667102535,0.07626508525564236,0.046863156479167806,0.09043321889026429,0.07167165245527128,0.053060057147750084,0.07934924171579723,0.8222718966821474,0.8746468134422991,0.8014830467329329,0.825691874132762,0.8596138088987213,0.8132542192868342
