"Page: 117  March 10, 2016"
""
"L.212 Municipal Securities"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted"
""
"","2010","2011","2012","2013","2014","2015","2014","2015","2015","2015","2015",""
"Description","","","","","","","Q4","Q1","Q2","Q3","Q4",""
"Domestic nonfinancial sectors; municipal securities; liability","3772.1","3719.4","3714.4","3671.2","3652.4","3714.8","3652.4","3694.0","3714.6","3710.0","3714.8","1"
"State and local governments, excluding employee retirement funds; municipal securities; liability","3023.6","2970.0","2964.3","2924.9","2910.9","2962.7","2910.9","2945.9","2958.5","2956.3","2962.7","2"
"State and local governments, excluding employee retirement funds; short-term municipal securities; liability","63.0","52.3","56.1","45.3","38.6","32.8","38.6","38.1","31.1","31.5","32.8","3"
"State and local governments, excluding employee retirement funds; long-term municipal securities; liability","2960.6","2917.6","2908.2","2879.6","2872.3","2930.0","2872.3","2907.9","2927.4","2924.8","2930.0","4"
"Nonprofit organizations; municipal securities; liability","263.2","255.5","241.0","227.8","223.1","217.7","223.1","223.0","219.7","217.2","217.7","5"
"Nonfinancial corporate business; municipal securities; liability","485.4","493.9","509.1","518.5","518.4","534.3","518.4","525.1","536.5","536.5","534.3","6"
"Domestic nonfinancial sectors; municipal securities; liability","3772.1","3719.4","3714.4","3671.2","3652.4","3714.8","3652.4","3694.0","3714.6","3710.0","3714.8","7"
"Households and nonprofit organizations; municipal securities; asset","1871.4","1805.6","1660.9","1607.7","1540.4","1514.8","1540.4","1556.2","1567.9","1550.4","1514.8","8"
"Nonfinancial corporate business; municipal securities; asset","23.9","22.3","22.9","21.2","12.7","13.5","12.7","14.5","13.6","12.9","13.5","9"
"Nonfinancial noncorporate business; municipal securities; asset","5.6","5.9","6.1","4.4","4.6","4.9","4.6","4.6","4.7","4.8","4.9","10"
"State and local governments, excluding employee retirement funds; municipal securities; asset","12.9","13.2","13.3","13.3","13.6","14.8","13.6","13.9","14.2","14.4","14.8","11"
"U.S.-chartered depository institutions; municipal securities; asset","254.6","297.3","365.0","418.9","451.5","498.9","451.5","465.2","476.6","488.1","498.9","12"
"Foreign banking offices in the U.S.; municipal securities; asset","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13"
"Banks in U.S.-affiliated areas; municipal securities; asset","2.5","3.4","2.6","3.6","2.7","2.1","2.7","2.7","2.5","2.2","2.1","14"
"Credit unions; municipal securities; asset","0.0","3.2","4.2","4.6","3.8","4.3","3.8","3.9","4.2","4.4","4.3","15"
"Property-casualty insurance companies; municipal securities; asset","348.4","331.0","328.1","326.4","321.7","323.4","321.7","320.3","321.6","322.6","323.4","16"
"Life insurance companies; municipal securities; asset","112.3","121.8","131.5","141.6","147.8","151.9","147.8","148.1","149.0","150.4","151.9","17"
"Private defined contribution pension funds; municipal securities held by 403(b) plans; asset","0.1","0.1","0.3","0.5","0.6","0.5","0.6","0.6","0.6","0.5","0.5","18"
"State and local government employee defined benefit retirement funds; municipal securities; asset","2.2","1.7","1.8","3.1","4.1","2.8","4.1","2.8","4.7","2.9","2.8","19"
"Money market mutual funds; municipal securities; asset","386.7","357.3","336.7","308.3","281.7","268.2","281.7","273.5","257.7","256.7","268.2","20"
"Mutual funds; municipal securities; asset","525.5","541.2","627.4","613.9","657.7","705.4","657.7","673.9","683.2","688.2","705.4","21"
"Closed-end funds; municipal securities; asset","81.6","82.5","86.0","84.3","84.8","84.0","84.8","84.6","83.9","83.8","84.0","22"
"Exchange-traded funds; municipal securities; asset","7.6","8.6","12.3","11.4","14.6","18.5","14.6","16.0","16.6","17.1","18.5","23"
"Government-sponsored enterprises; municipal securities and Sallie Mae public academic facilities financing and Sallie Mae public warehousing advances; asset","24.9","21.0","17.0","13.4","10.8","8.1","10.8","9.9","9.1","8.7","8.1","24"
"Security brokers and dealers; municipal securities; asset","40.0","30.9","26.6","18.6","18.9","14.0","18.9","20.6","19.0","15.9","14.0","25"
"Rest of the world; municipal securities; asset","71.7","72.4","71.8","76.1","80.4","84.6","80.4","82.5","85.4","86.0","84.6","26"
