NAICS,All,Corp,Non-Corp
11,0.23940187783538686,0.2376827880617052,0.24021360967079924
211,0.31954363919247553,0.31954363919247553,0.31954363919247541
212,0.30217433060291815,0.30217433060291821,0.30217433060291804
213,0.31744954678287884,0.31744954678287873,0.31744954678287868
22,0.19225178531029813,0.19225178531029813,0.19225178531029813
23,0.34692169657136995,0.34692169657136945,0.34692169657136951
31,0.31478702748097387,0.31491583686996139,0.31350253449513044
32411,0.36363243920969895,0.3636324392096989,0.36363243920969918
336,0.28703238999797692,0.28703238999797692,0.28703238999797703
3391,0.25623845207574442,0.25623845207574436,0.25623845207574436
42,0.29368454946862194,0.29368454946862205,0.29368454946862194
44,0.16515331362701258,0.16515331362701249,0.16515331362701247
48,0.29681140172634368,0.30462734104389588,0.28476075650515786
51,0.34111416264004596,0.34851856909684814,0.3008513265263561
52,0.25121382815772819,0.26597067227115195,0.16382562041986379
531,0.09989828191090265,0.099898281910902595,0.099898281910902664
532,0.43703632748654814,0.43703632748654786,0.43703632748654803
533,0.43703632748654797,0.43703632748654786,0.43703632748654797
54,0.35232044439902027,0.35166186659052157,0.35262979162743979
55,0.22863432211760917,0.22863432211760915,0.22863432211760915
56,0.31479569232445526,0.29317933235830501,0.33339315542336295
61,0.10014915439070821,0.10014915439070821,0.10014915439070822
62,0.16449873890142366,0.17569444493868852,0.16005669181752799
71,0.25079023296601299,0.26370519465784709,0.24427766026569048
72,0.18221354387192398,0.19848733691546272,0.17214442155492948
81,0.13268108933481138,0.13268108933481135,0.13268108933481135
92,0.0,0.0,0.0
