Item,All industries,"Agriculture, forestry, fishing, and hunting",Crop production,Animal production,"Forestry 
and logging","Fishing, hunting, 
and trapping","Support activities for 
agriculture and forestry",Mining,"Oil and gas 
extraction",Other mining,"Support activities 
for mining",Utilities,Construction,"Construction 
of buildings",Heavy and civil engineering construction,"Utility 
system 
construction",Land subdivision,"Other heavy and 
civil engineering 
 construction",Special trade contractors,"Foundation,
structure, and 
building exterior
contractors","Electrical 
contractors","Plumbing,
heating and
air-conditioning
contractors","Building
finishing
contractors","Other
 specialty
trade
contractors",Manufacturing,"Food
manufacturing","Beverage and
tobacco
product
manufacturing","Textile mills
and textile
product mills","Apparel 
manufacturing","Leather and
allied
product
manufacturing","Wood
product
manufacturing","Paper
manufacturing","Printing
and related
support
activities","Petroleum 
and coal 
products 
manufacturing","Chemical
manufacturing","Plastics and
rubber
products
manufacturing","Nonmetallic
 mineral
products
manufacturing","Primary
metal
manufacturing","Fabricated
metal
products
manufacturing","Machinery
manufacturing","Computer
and electrical
product
manufacturing","Electrical
equipment,
appliance and
component
manufacturing","Transportation
equipment
manufacturing","Furniture
and related
product
manufacturing","Miscellaneous
manufacturing",Wholesale trade,"Merchant 
wholesalers,
durable goods","Merchant 
wholesalers,
nondurable 
 goods","Wholesale
electronic
markets and
agents and
brokers",Retail trade,"Motor
vehicle and
parts dealers","Furniture
and home
furnishing
stores","Electronics
and appliance
stores","Building
materials and
garden
equipment and
supplies dealers","Food
and beverage
stores","Health
and personal
care stores","Gasoline
stations","Clothing and
clothing
accessories
stores","Sporting
goods, hobby,
book, and
music stores","General
merchandise
stores","Miscellaneous
store
retailers","Nonstore
retailers",Transportation and warehousing,"Air
and
rail
transportation","Water
transportation","Truck 
transportation","Other transit
and ground
passenger
transportation","Pipeline
transportation","Scenic and
sightseeing
transportation","Support
activities for
transportation","Couriers
and
messengers","Warehousing
and
storage",Information,"Publishing
industries
(except internet)","Motion picture
and sound
recording
industries","Broadcasting
(except internet)","Tele-
communications","Data
processing 
services","Other 
information
services",Finance and insurance,"Depository
credit
intermediation","Nondepository
credit
intermediation","Activities
related to credit
intermediation","Securities, commodity contracts and 
other financial investments and related activities","Securities
and
commodity
contracts
and exchanges","Other
financial
investment
activities","Insurance
carriers
and
related
activities","Funds, trusts,
and other
financial
 vehicles",Real estate and rental and leasing,Real estate,"Lessors of
residential 
buildings and 
dwellings and 
cooperative 
housing","Lessors of
nonresidential
buildings (except 
miniwarehouses)","Lessors of
miniwarehouses
and self-storage
 units","Lessors of
other real 
estate
property","Other
real estate
activities","Rental
and
leasing
services","Lessors of
nonfinancial 
intangible assets 
(except copyrighted
works)","Professional, scientific, and technical services","Legal
services","Accounting,
tax preparation,
bookkeeping
and payroll
services","Architectural,
engineering
and related
services","Specialized
design 
services","Computer
systems
design and
related
services","Other professional, scientific, and technical services","Management,
scientific, and 
technical
consulting
services","Advertising
and related
services","Other
miscellaneous
professional,
scientific and
technical 
services","Management
of companies
(holding
companies)"," Administrative and support and waste 
management and remediation services ","Administrative
and
support
services","Waste 
management
and
remediation
services","Educational 
services", Health care and social assistance,"Offices of
physicians
and dentists","Offices 
of other
health
practitioners","Outpatient
care
centers","Medical
and
diagnostic
laboratories","Home
health
care
services","Other
ambulatory
health care
services",Hospitals,"Nursing
and
residential
care
facilities","Social
assistance","Arts, entertainment, and recreation","Performing arts,
spectator sports
and related
industries","Museums,
historical sites,
and similar
institutions","Amusement,
gambling,
and recreation
industries",Accommodation and food services,Accommodation,"Food
services
and
drinking
places",Other services,Repair and maintenance,"Automotive
repair and
maintenance","Other
repair and
maintenance ","Personal
and laundry
services","Religious,
grantmaking,
civic, professional,
and similar
organizations"
Number of partnerships [1],3388561,151291,75988,44701,12442,4016,14144,32276,25208,1949,5119,3053,160553,74992,19663,567,16615,2481,65898,12696,9687,10758,12388,20369,66983,12402,3024,358,586,337,2859,260,6165,383,1760,3336,915,527,5720,5588,2297,539,5133,758,14038,63917,42071,19652,2194,158529,16531,4548,4881,5623,22005,7611,8938,21966,10131,2690,29337,24268,41567,5233,246,20975,5609,475,19,7226,812,973,38380,10839,11886,3779,6020,1153,4704,306245,16,18120,1581,231455,12676,218779,13311,41762,1664237,1622349,509675,657146,17266,99915,338347,33535,8353,233635,33528,33835,17298,14698,30100,104175,59510,8860,35805,28157,70213,63186,7027,14380,83535,29678,13723,7997,6840,3245,2619,1116,8673,9643,66228,41766,335,24128,123779,32232,91547,81602,38868,32017,6851,40325,2409
    Number of partners,25333616,485553,236173,161805,44992,9071,33513,1861948,1637839,180393,43715,138093,425663,220232,55352,1716,45766,7870,150078,27028,21390,23642,30084,47934,847487,43613,15459,1273,1502,729,7737,1371,19385,345503,257718,11405,3553,2777,18785,24031,16549,2923,14720,3114,55338,587790,123412,454888,9490,648016,43579,10265,21446,19414,55310,49387,22043,47620,22569,5791,70919,279674,2968476,11570,72767,46735,17399,2757455,78,58015,1831,2625,204379,45532,42387,49453,41382,3711,21914,6296529,197,140746,6351,4444389,525163,3919226,54488,1650358,7326019,7133255,2149943,2806620,59615,516370,1600707,110044,82720,793315,174708,105249,51825,52392,98593,310549,167936,31501,111112,1149013,185862,146413,39449,37308,375345,130238,33903,69736,35507,7828,17828,14265,42818,23223,314098,156195,993,156910,443599,147437,296162,245123,82795,67321,15474,157511,4817
    Number of partnerships,2540028,107964,53661,36410,8490,842,8561,25771,19564,1949,4257,3019,104217,50082,16006,557,13007,2442,38129,4894,7815,6805,4828,13788,45854,8618,3003,337,258,0,2520,257,3422,357,1699,3290,896,428,4948,1974,1956,0,1372,758,9214,50030,31023,17472,1536,104444,12791,3891,4002,4219,17724,7284,8331,10894,4215,2686,13848,14558,30042,5219,0,12833,5609,406,19,3952,0,959,24234,2840,8667,2580,4699,0,0,256134,16,10839,1441,191664,6983,184681,12964,39210,1327038,1301503,387949,559144,12403,72120,269886,19591,5943,143914,27872,20850,14181,3765,16516,60731,34425,4888,21417,21432,41617,35262,6355,7811,63020,25376,10519,7019,4803,1376,828,1087,7584,4429,40216,22847,335,17035,92358,26855,65502,50912,21730,18462,3267,29179,4
    Number of partners,22747559,373725,167898,143686,37076,2723,22342,1837811,1615607,180393,41811,137699,299264,161533,47566,1676,38173,7717,90165,11424,17647,15736,14298,31061,798699,35746,15186,1201,801,0,7051,1357,13886,345388,257090,11186,3499,2579,17240,14308,15808,0,4649,3114,45613,550757,94320,448912,7525,526680,35028,8924,19521,16076,45026,48728,20658,23069,9958,5782,39592,254319,2943648,11542,0,30418,17399,2757183,78,49883,0,2598,117557,10303,32522,11211,38737,0,0,6004997,197,122733,6072,4183201,512470,3670730,53725,1639069,6195865,6045544,1837025,2369452,49859,396950,1392258,78074,72248,591105,160395,78427,37925,25614,70503,218241,112603,23531,82106,1132520,128019,89917,38102,20819,323569,120784,26959,64987,26165,4385,13702,13611,40555,12422,232451,98522,993,132936,348381,119327,229053,183994,48338,40040,8298,135648,7
Total assets,22014928866,206267740,73325576,62918874,56249331,3959496,9814463,498947460,424784785,55164975,18997700,301316906,185368061,102195291,60207473,8933363,34135845,17138265,22965297,2898458,2716487,4618216,2091531,10640604,766973149,50540052,49928858,2646128,3194222,78260,7512230,50056665,4033829,186826414,124596742,19400243,8590459,22724861,22713069,69576674,16635618,5234975,82142816,2589783,37951251,229545873,81002938,146071766,2471169,168389062,46758703,4904654,1666737,6918370,22929777,5939345,16784403,11887303,7236994,4845730,10524289,27992756,436329482,18847768,22247944,8966219,2340509,335716895,404116,28465356,60078,19280595,662748863,23122749,24533422,145574583,444196813,10961657,14359639,12151867789,8624933,275565641,29167091,10359613108,566371544,9793241564,27903466,1450993551,4952793483,4820459417,1223006770,2338893110,41831207,175532819,1041195511,109629541,22704526,226437030,39884778,25831904,11312004,2834831,20484972,126088541,63622956,13084674,49380911,637075485,76611446,63290366,13321079,4435201,142843317,14328332,2837121,21518691,8387807,2067354,1031071,44539592,45529141,2604208,107642256,57726109,99763,49816384,239198260,193619833,45578427,20138002,8520110,5784240,2735870,11231772,386120
    Cash,1066981227,11390430,5580414,3679145,1184741,200025,746105,22151730,19340529,1539684,1271517,7153896,19794028,9844143,6633191,1343724,1007234,4282234,3316694,485502,486622,582434,324335,1437800,34891388,2001684,884440,111560,168110,23221,375663,500099,333912,7109589,4390410,719115,327871,1780067,1155667,1954008,2084095,216515,9994757,120863,639741,11319770,4902739,6067271,349760,12626549,4086409,495710,329435,269318,2222823,629299,638494,737319,638349,319521,841682,1418191,11754727,1128334,1105761,905784,133721,6688891,68709,1372581,7979,342968,14869075,992775,2093480,4591325,4067363,783407,2340726,599895442,2923091,6649724,2581636,531318117,52904598,478413520,4111612,52311261,194741489,189642524,51048720,86901324,896958,7798593,42996929,4088484,1010481,47234443,18200894,6585808,1761380,128421,2893898,17664041,10978625,1867329,4818088,31730399,7837811,6940710,897101,523275,12997984,3319724,789710,3024676,993065,290318,76227,1652752,2633586,217925,9089126,6125983,9374,2953770,14711495,10171552,4539943,2268171,632803,351223,281580,1634521,846
    Trade notes and accounts receivable,810689885,6278845,1863498,2298019,996639,58180,1062509,28483227,22594725,3319308,2569193,16818203,24366000,11065853,5931907,978791,1484760,3468355,7368241,1182736,1065414,1462130,729787,2928175,116262602,6434046,6813888,630811,670468,21218,912482,3284107,985191,21743089,22362805,2327001,1258630,3314465,3294370,15704983,2913335,744968,12203990,255276,10387478,56365920,21061527,34663886,640508,15809804,5133389,858124,357461,808878,968070,1095361,1662024,486550,436283,407572,472840,3123252,53942331,8532546,765121,2400222,176379,32674135,39766,3400816,34334,5919012,58305476,3406195,3808821,15925965,29552324,4009770,1602400,286926248,50413,139996314,2996881,134056271,67886748,66169523,1981511,7844859,47357682,37320862,4001766,21534578,381748,1502843,9899928,7947719,2089100,30677666,3533013,5130221,3149852,364016,3463518,15037046,6122981,2727159,6186905,12688781,14627476,13314759,1312717,347142,29557974,2542871,397758,4553974,2028342,631788,293308,13331297,5609298,169338,4659646,3082306,11558,1565782,5884458,3190507,2693951,1330403,721105,160262,560844,608339,958
        Less:  Allowance for bad debts,27584783,41699,13186,3483,2103,124,22803,215839,159787,16968,39085,130323,119744,41342,17890,2281,0,15609,60512,15741,7184,16202,6268,15117,1311870,132989,12243,24810,26085,196,16602,28726,24803,77849,223494,48805,39862,33354,83399,304984,74452,10606,92692,5129,50792,827066,475108,346387,5572,435216,38651,29420,3346,11745,53088,62287,10406,28124,7994,23435,3865,162855,106810,9447,5448,31970,4307,13829,100,33332,1903,6475,1920259,285712,94559,438596,1035598,50360,15433,8130135,0,7140765,9245,780989,163676,617314,30284,168852,1396299,1257491,404395,577629,6051,74729,194686,136604,2204,1096142,50078,466543,46159,2534,181739,349090,256866,48616,43608,74573,775579,710589,64990,57620,10555317,527442,95728,1275059,761993,67952,85362,7222899,516713,2167,123419,39964,0,83455,182142,166988,15154,84731,47073,1400,45674,37658,0
    Inventories,304131610,11290746,2657675,7084228,177263,41292,1330289,5414947,1671122,3202289,541535,2417841,36296838,23665826,11493945,31727,11270613,191605,1137066,272566,92531,175543,127336,469090,74090131,8029218,3573292,863102,740375,18165,1632233,2891332,350019,13959487,11694407,1926150,1085337,4017146,3422433,6043178,1419247,907890,8348740,334771,2833608,50607766,23460460,26966229,181077,47294643,23672796,1464906,382700,1942588,4221455,1358420,1192712,2516312,2361404,1437942,4412284,2331124,4959523,216790,109429,98855,13225,3824007,3640,383514,2556,307507,8734090,448880,2562143,2283255,3373496,6960,59356,12705694,0,1814438,9502,10769109,2986623,7782486,5908,106738,40937608,39305117,3054409,1379808,5686,2404865,32460350,1623903,8588,1758694,329,7698,53613,124812,194020,1378221,320863,76433,980926,2436964,515549,420045,95504,22342,713896,92916,71639,253422,45092,25203,14770,174234,36620,0,988405,291690,2480,694235,2163700,813341,1350359,782234,591787,253919,337868,190447,0
    U.S. Government obligations,193755714,74,0,0,0,74,0,446841,446841,0,0,0,190936,4161,186774,113665,0,73109,0,0,0,0,0,0,9596,103,0,0,0,0,0,0,0,0,9493,0,0,0,0,0,0,0,0,0,0,11987,0,11987,0,15753,13781,0,0,0,0,0,0,1972,0,0,0,0,28159,0,0,0,0,0,0,28159,0,0,14088,1,6119,7968,0,0,0,191644009,78369,285457,0,157380329,3418016,153962314,30580,33869273,1145349,1145349,259338,884304,0,1217,490,0,0,203899,203899,0,0,0,0,0,0,0,0,44253,0,0,0,0,500,500,0,0,0,0,0,0,0,0,116,116,0,0,154,0,154,0,0,0,0,0,0
