Item,All industries,"Agriculture,
forestry,
fishing, and
hunting",Mining,Utilities,Construction,Manufacturing,"Wholesale
trade","Retail
trade","Transportation 
and
warehousing",Information,Finance and insurance,"Securities, commodity contracts and other
 financial investments and related activities","Securities and
commodity 
contracts and 
exchanges","Other
financial
investment
activities","Funds, 
trusts
and other
financial
vehicles","Other 
finance and 
insurance",         Real estate and rental and leasing,Real estate,"Lessors of
residential 
buildings and 
dwellings and
 cooperative 
housing","Lessors of
nonresidential
buildings
(except mini-
warehouses)","Lessors of
miniwarehouses
and self-storage 
units","Lessors of
other real 
estate
property","Other
real 
estate
activities",Rental and leasing services and lessors of nonfinancial intangible assets (except copyrighted works),"Professional, 
scientific, and 
technical 
services","Management
of companies
(holding
companies)","Administrative 
and support 
and waste 
management 
and remediation 
services","Educational 
services"," Health care
 and social 
assistance","Arts, 
entertainment, 
and recreation","Accommodation 
and food services","Other 
services"
    All partners,1379063791,8679450,16394771,-1666295,11316548,61236218,24772953,12763828,6712544,46763418,807448740,714350615,15505993,698844622,71329002,21769123,152224622,142160095,11316532,80643647,2853812,10093153,37252951,10064528,108908036,55612157,7725156,1087126,48371965,2162609,6311275,2238671
      Corporate general partners,94440747,845323,-9826850,467946,2320819,17082800,1047923,733847,3846107,17906151,38687285,25906325,181852,25724473,11202901,1578059,12346204,12293982,368848,9105771,135958,246376,2437030,52222,2895673,-1130690,683844,905,5748654,425014,299425,60368
      Corporate limited partners,236425766,786350,14391051,-3900180,1224345,25315804,9658892,3422111,267969,6784073,147513941,129475037,4289766,125185271,6906499,11132405,9038399,3425416,-5168911,1763807,764488,-38372,6104404,5612983,5014040,9660356,484747,164515,6061613,-323849,678609,182980
      Individual general partners,83792696,2876711,-960296,226068,1231618,220571,657868,1279269,676703,203829,8624896,7051687,159709,6891978,1068923,504286,15292991,14529556,2940242,8904807,115192,1736459,832856,763435,47946038,490314,779177,95670,3074730,238788,312016,525735
      Individual limited partners,291199705,2120329,7143217,144236,5678742,3348245,6955571,4439488,-163961,1801884,115123305,104061262,2241953,101819309,7914262,3147781,58843396,56768095,7928187,31235774,338716,5396262,11869156,2075300,46018070,9924943,3733919,571433,20376454,407600,3639787,1093046
      Partnership general partners,106154000,979274,-4060626,555447,368590,1220446,325784,181076,1349165,13556114,77901841,70429358,1053145,69376213,7393026,79457,8360856,8188132,789286,4743691,81351,227233,2346571,172725,2307106,1731781,157380,150,362089,354989,525292,-22754
      Partnership limited partners,344662139,59844,8900270,1202170,228057,7685931,4403599,2120201,976013,5594498,253459239,237677680,6092307,231585373,11881811,3899747,24545236,24757625,47334,13898757,1096585,1534680,8180269,-212388,2413220,21211974,1415600,59229,9314787,224586,456358,391328
      Tax-exempt organization general partners,2103494,8029,-91322,0,0,-1637,22277,0,0,-1186,1783614,1704127,34889,1669238,54498,24989,-980,-980,-11766,3382,0,0,7403,0,145,45824,1495,0,335747,0,1488,0
      Tax-exempt organization limited partners,78976841,-17005,267118,83383,-129346,-38196,17033,20817,-650182,69697,74323599,62794825,-38719,62833545,11124532,404242,2317189,2279415,494695,1077820,3475,141694,561731,37774,479341,369797,133228,0,1733521,-48302,46647,-1497
      Nominee and other general partners,9520084,-99395,-1180525,39503,118162,168327,51850,14410,99494,-325592,4620433,3321912,66442,3255470,1299413,-892,4839821,4680296,1876986,2477030,6615,84956,234710,159525,356375,674340,11209,2947,192848,-66056,1932,0
      Nominee and other limited partners,131788318,1119989,1812734,-484868,275560,6233927,1632156,552609,311236,1173950,85410587,71928401,1424650,70503752,12483136,999050,16641510,15238558,2051631,7432808,311432,763866,4678820,1402952,1478029,12633519,324557,192276,1171523,949839,349721,9464
