Asset Type,Class Life,GDS,ADS,System,Method
Custom software,3.0,3.0,3.0,GDS,GDS 200%
Own account software,3.0,3.0,3.0,GDS,GDS 200%
Pharmaceutical and medicine manufacturing,9.0,5.0,9.0,GDS,GDS 200%
"Chemical manufacturing, ex. pharma and med",9.5,5.0,9.5,GDS,GDS 200%
Semiconductor and other component manufacturing,5.0,5.0,5.0,GDS,GDS 200%
Computers and peripheral equipment manufacturing,6.0,5.0,6.0,GDS,GDS 200%
Communications equipment manufacturing,6.0,5.0,6.0,GDS,GDS 200%
Navigational and other instruments manufacturing,6.0,5.0,6.0,GDS,GDS 200%
"Other computer and electronic manufacturing, n.e.c.",6.0,5.0,6.0,GDS,GDS 200%
Motor vehicles and parts manufacturing ,12.0,7.0,12.0,GDS,GDS 200%
Aerospace products and parts manufacturing,10.0,7.0,10.0,GDS,GDS 200%
Other manufacturing,12.0,7.0,12.0,GDS,GDS 200%
Scientific research and development services,50.0,50.0,50.0,ADS,ADS SL
Software publishers,50.0,50.0,50.0,ADS,ADS SL
Financial and real estate services,50.0,50.0,50.0,ADS,ADS SL
Computer systems design and related services,50.0,50.0,50.0,ADS,ADS SL
"All other nonmanufacturing, n.e.c.",50.0,50.0,50.0,ADS,ADS SL
Private universities and colleges,50.0,50.0,50.0,ADS,ADS SL
Other nonprofit institutions,50.0,50.0,50.0,ADS,ADS SL
Theatrical movies,50.0,50.0,50.0,ADS,ADS SL
Long-lived television programs,50.0,50.0,50.0,ADS,ADS SL
Books,50.0,50.0,50.0,ADS,ADS SL
Music,50.0,50.0,50.0,ADS,ADS SL
Other entertainment originals,50.0,50.0,50.0,ADS,ADS SL
Residential,40.0,27.5,40.0,ADS,ADS SL
Land,100.0,100.0,100.0,ADS,ADS SL
Inventories,100.0,100.0,100.0,ADS,ADS SL
