Industrial sector,"Number
of returns","Business
receipts","Depreciation
deduction","Rent paid
on machinery
and
equipment","Rent paid
on other
business
property","Interest paid
deduction",Payroll,"Net income
less deficit","Number
of returns","Business
receipts","Depreciation
deduction ","Rent paid
on machinery
and
equipment","Rent paid
on other
business
property","Interest paid
deduction",Payroll,"Net income
"
"   Sporting goods, hobby, book, and music stores",89883,6860075,124687,18013,287287,81793,367433,322317,46183,5488554,65994,8382,172806,57538,247157,662784
   General merchandise stores,26062,2640965,32584,5861,89891,11524,93380,52465,14104,1879534,10896,4208,68371,8663,57968,213582
   Miscellaneous store retailers,602981,31449075,539986,178186,1323779,265848,1646577,2968062,351331,24707927,283060,122799,728583,128848,1085233,4869841
   Nonstore retailers,957387,28416605,413200,89921,574766,121966,742273,2846929,482710,23381469,197243,40949,408412,70295,530433,5153771
Transportation and warehousing,1133138,92990956,4804710,2598924,632823,694933,4340390,13105304,928002,79144887,3172902,2297002,429469,486381,2919961,15765264
   Air and rail transportation,18674,1692719,317553,24808,22136,52389,97060,-236353,12451,1073936,29761,7766,5505,9627,36028,248019
   Water transportation,2892,1471033,231777,10385,7534,32926,221398,70899,2414,532250,40548,9721,1814,7250,67068,208180
   Truck transportation,576787,69647540,3639326,1377225,325113,474030,3020342,9040597,477413,60329904,2705744,1131459,254321,372544,2092618,10252399
   Other transit and ground transportation,270005,9047087,268326,1081460,101539,72623,260198,2611688,237733,8504695,196289,1058634,93408,60118,165297,2931546
   Pipeline transportation,13,12166,5397,0,99,0,211,-5026,3,10393,0,0,1,0,0,751
   Scenic and sightseeing transportation,13360,556511,64024,22759,17760,17765,71958,-8255,8371,299705,26715,21969,2390,9553,25798,54833
   Support activities for transportation (including motor vehicle towing),54016,4406881,159992,40058,42107,25151,545896,664070,40490,3613403,101563,39806,29895,14052,480226,777591
   Couriers and messengers,189317,5497590,95090,39517,54603,11845,68439,805139,141391,4241368,59664,25811,31198,6244,16295,1117091
   Warehousing and storage facilities,8073,659428,23225,2711,61932,8203,54888,162546,7735,539232,12618,1835,10936,6991,36632,174855
Information,353652,11570425,378485,74104,284943,49240,996674,2765596,246848,9428575,216576,56207,188247,22382,580767,3727074
   Publishing industries (except internet),54402,1719959,19123,3611,24115,14727,255820,380371,37161,1350458,8891,3510,5689,1828,168356,558412
   Motion picture and sound recording,105465,3535784,219106,41775,137856,16933,257134,662438,67355,2714745,113041,37200,79294,13881,125692,1128653
   Broadcasting (except internet) and telecommunications and internet service providers,95265,4233633,111374,9283,85687,10417,338040,1010762,70889,3531496,70601,3030,74169,3758,173900,1183475
"   Data processing, internet publishing and broadcasting, and web search portals",98520,2081049,28881,19434,37285,7163,145680,712025,71443,1831877,24043,12468,29096,2916,112819,856535
Finance and insurance,616053,74450571,693079,173919,1453674,436593,4680057,18909379,417911,49033932,504479,139131,1241555,273663,4010580,21269112
   Credit intermediation and related activities,34394,3316291,52121,19886,69800,70098,226066,513309,25015,2662762,36170,4991,40937,34178,143894,721308
"   Securities, commodity contracts, and other financial investments",163884,42799507,232491,78276,478251,168849,1805575,7439632,100293,20710454,139837,68083,378926,73620,1389941,8730798
     Investment bankers and securities dealers,3930,4365555,2745,2776,21874,2168,39189,351785,2860,1628557,2646,2557,20055,1229,37322,381538
     Securities brokers,15805,4450785,31745,7587,28509,4171,107452,725233,11655,2610171,27534,6633,23911,2824,98022,775408
     Commodity contracts brokers and dealers,5135,947699,5560,333,8693,4876,18919,276497,2867,841574,3940,326,6400,2383,5407,336145
     Securities and commodity exchanges,1925,931340,11910,252,17048,1169,51219,-82264,482,400740,8952,248,15144,985,5703,31985
     Other financial investment activities (investment advice),137089,32104128,180531,67329,402127,156466,1588795,6168383,82429,15229412,96764,58321,313416,66198,1243488,7205722
"   Insurance agents, brokers, and related activities",417775,28334773,408468,75757,905623,197646,2648416,10956438,292603,25660716,328472,66057,821692,165865,2476745,11817006
     Insurance agencies and brokerages,327339,24125046,336603,62059,804481,180521,2484027,9162216,233681,21813386,280597,56549,734931,154828,2349588,9821741
     Other insurance related activities and other financial vehicles,90435,4209726,71864,13699,101141,17125,164389,1794222,58922,3847330,47875,9508,86761,11038,127157,1995265
Real estate and rental and leasing,1189781,61771880,2801192,292088,969101,1087984,2382781,21291849,787463,53973147,1518788,195748,711933,579230,1612034,25503525
   Real estate,1132188,57022372,1607520,249028,829230,920354,1909359,21012128,756350,50881315,1025188,172627,640549,499251,1349461,24711481
     Lessors of real estate (including miniwarehouses and self storage),37887,2592615,303032,5791,60939,244727,130001,500266,17984,1947818,148661,1640,50225,126840,67916,766503
"     Offices of real estate agents, brokers, property managers, and appraisers",826696,39489732,955239,180333,575440,315705,1112422,17048560,556861,36172508,685351,131680,450848,201783,781009,19013045
     Other activities related to real estate,267605,14940025,349249,62904,192851,359922,666936,3463302,181504,12760989,191177,39308,139477,170628,500535,4931933
   Rental and leasing services,57440,4747066,1193529,43060,139871,167630,473401,279525,31102,3089403,493457,23121,71384,79979,262552,791070
     Automotive equipment rental and leasing,19289,761944,186487,6952,12806,15714,77341,68080,11319,580057,130284,2118,12183,10734,18220,134946
     Consumer electronics and appliances rental,1363,132099,3327,1,130,4058,21502,-5251,41,19451,0,0,102,0,2505,4671
     Formal wear and costume rental,98,46998,850,0,4760,131,8694,6072,98,46998,850,0,4760,131,8694,6072
     Video tape and disc rental,2209,303761,23806,561,35178,945,44351,-7077,338,118943,351,325,13912,900,10146,13259
     General rental centers and other consumer goods rental,15971,1137359,158779,13438,45803,30090,130083,50542,8527,712995,40433,8166,19443,14738,86577,146105
     Commercial and industrial machinery and equipment rental and leasing,18509,2364904,820280,22108,41194,116691,191430,167158,10780,1610959,321539,12511,20984,53476,136410,486016
